Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.jstor.org/,Main
http://www.viaf.org/,[35]
http://www.doi.org/,[63]
http://www.afuu.org/,[32]
http://www.wolffund.org.il/,[121]
http://www.ki.se/,[56]
http://www.id.loc.gov/,[42]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.genus.se/,[134]
http://www.natgeotraveller.in/,[133]
http://www.ci.nii.ac.jp/,[81]
http://www.ki.se/,[56]
http://www.catalogue.bnf.fr/,[38]
http://www.circ.ahajournals.org/,[119]
http://www.mediawiki.org/,[55]
http://www.glamourmagazine.co.uk/,[129]
http://www.circ.ahajournals.org/,[119]
http://www.youtube.com/,[27]
http://www.thelocal.se/,[17]
http://www.cwur.org/,[21]
http://www.sydsvenskan.se/,[128]
http://www.mises.org/,[110]
http://www.asbmb.org.au/,[120]
http://www.afbostader.se/,[107]
http://www.lundagard.se/,[91]
http://www.ki.se/,[56]
http://www.webometrics.info/,[11]
http://www.gu.se/,[132]
http://www.ec.europa.eu/,[103]
http://www.tekniskamuseet.se/,[74]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.thestandard.com.hk/,[59]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.getty.edu/,[48]
http://www.paked.net/,[31]
http://www.arkitekturupproret.se/,[99]
http://www.musicbrainz.org/,[82]
http://www.kth.se/,[73]
