Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.jur.uu.se/,Main
http://www.mbl.is/,[113]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.luis.lu.se/,[104]
http://www.roundranking.com/,[57]
http://www.fsas.uu.se/,[12]
http://www.geo.uu.se/,[5]
http://www.afuu.org/,[32]
http://www.mediawiki.org/,[55]
http://www.id.loc.gov/,[42]
http://www.catalogo.bne.es/,[72]
http://www.scmp.com/,[60]
http://www.getty.edu/,[48]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.kth.se/,[73]
http://www.catalogo.bne.es/,[72]
http://www.ergo.nu/,[19]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.kopkatalogs.lv/,[80]
http://www.ergo.nu/,[19]
http://www.ki.se/,[56]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.universityworldnews.com/,[58]
http://www.dagensmedicin.se/,[70]
http://www.ci.nii.ac.jp/,[81]
http://www.leidenranking.com/,[22]
http://www.libris.kb.se/,[46]
http://www.mediawiki.org/,[55]
http://www.archive.org/,[118]
http://www.scb.se/,[93]
http://www.student.uu.se/,[30]
http://www.rudbeck.uu.se/,[4]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.wikidata.org/,[33]
http://www.runeberg.org/,[125]
http://www.ghostarchive.org/,[28]
http://www.getty.edu/,[48]
http://www.sydsvenskan.se/,[128]
http://www.worldcat.org/,[36]
http://www.bbc.com/,[69]
http://www.matarikinetwork.org/,[26]
http://www.ki.se/,[56]
http://www.universityworldnews.com/,[58]
http://www.uu.se/,[1]
http://www.geohack.toolforge.org/,[2]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
