Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ki.se/,Main
http://www.arkitekturupproret.se/,[99]
http://www.kopkatalogs.lv/,[80]
http://www.the-guild.eu/,[9]
http://www.arkitekturupproret.se/,[99]
http://www.geo.uu.se/,[5]
http://www.ep.liu.se/,[111]
http://www.data.rero.ch/,[83]
http://www.usnews.com/,[25]
http://www.upsalafaktning.se/,[20]
http://www.jur.uu.se/,[13]
http://www.afuu.org/,[32]
http://www.thestandard.com.hk/,[59]
http://www.opac.vatlib.it/,[47]
http://www.campusgotland.uu.se/,[7]
http://www.developer.wikimedia.org/,[54]
http://www.campusgotland.uu.se/,[7]
http://www.bbc.com/,[69]
