Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.kopkatalogs.lv/,Main
http://www.the-guild.eu/,[9]
http://www.natgeotraveller.in/,[133]
http://www.youtube.com/,[27]
http://www.kth.se/,[73]
http://www.getty.edu/,[48]
http://www.nla.gov.au/,[44]
http://www.uli.nli.org.il/,[41]
http://www.nytimes.com/,[61]
http://www.matarikinetwork.org/,[26]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.eshet.net/,[108]
http://www.kth.se/,[73]
http://www.authority.bibsys.no/,[37]
http://www.the-guild.eu/,[9]
http://www.libris.kb.se/,[46]
http://www.angstrom.uu.se/,[6]
http://www.uu.se/,[1]
http://www.lu.se/,[87]
http://www.scb.se/,[93]
http://www.ki.se/,[56]
http://www.wolffund.org.il/,[121]
http://www.nla.gov.au/,[44]
http://www.natgeotraveller.in/,[133]
http://www.manniskohjalp.se/,[112]
http://www.libris.kb.se/,[46]
http://www.uli.nli.org.il/,[41]
http://www.angstrom.uu.se/,[6]
