Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.kth.se/,Main
http://www.uli.nli.org.il/,[41]
http://www.trove.nla.gov.au/,[50]
http://www.trove.nla.gov.au/,[50]
http://www.fsas.uu.se/,[12]
http://www.trove.nla.gov.au/,[50]
http://www.svt.se/,[67]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.catalogo.bne.es/,[72]
http://www.id.loc.gov/,[42]
http://www.thestandard.com.hk/,[59]
http://www.bbc.com/,[69]
http://www.lu.se/,[87]
http://www.proton-therapy.org/,[15]
http://www.ghostarchive.org/,[28]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.angstrom.uu.se/,[6]
http://www.wikidata.org/,[33]
http://www.angstrom.uu.se/,[6]
http://www.webometrics.info/,[11]
http://www.ki.se/,[56]
http://www.ch.lu.se/,[96]
http://www.genus.se/,[134]
http://www.britannica.com/,[115]
http://www.collections.tepapa.govt.nz/,[131]
http://www.tsl.uu.se/,[14]
http://www.afuu.org/,[32]
http://www.leidenranking.com/,[22]
http://www.afuu.org/,[32]
http://www.trove.nla.gov.au/,[50]
http://www.commons.wikimedia.org/,[29]
http://www.natgeotraveller.in/,[133]
http://www.wikimediafoundation.org/,[53]
http://www.blogs.sweden.se/,[94]
http://www.paked.net/,[31]
http://www.linnaeus.c18.net/,[114]
http://www.ep.liu.se/,[111]
http://www.internt.slu.se/,[85]
http://www.uu.se/,[1]
http://www.matarikinetwork.org/,[26]
http://www.biomus.lu.se/,[97]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.data.rero.ch/,[83]
http://www.en.wiktionary.org/,[3]
http://www.uu.se/,[1]
http://www.fsas.uu.se/,[12]
http://www.nytimes.com/,[61]
http://www.nytimes.com/,[61]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.slu.se/,[84]
http://www.eshet.net/,[108]
http://www.med.lu.se/,[95]
http://www.getty.edu/,[48]
http://www.d-nb.info/,[40]
http://www.jur.uu.se/,[13]
http://www.wikimediafoundation.org/,[53]
http://www.the-guild.eu/,[9]
http://www.britannica.com/,[115]
http://www.retractionwatch.com/,[62]
http://www.libris.kb.se/,[46]
http://www.ki.se/,[56]
http://www.biomus.lu.se/,[97]
http://www.ki.se/,[56]
