Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.leidenranking.com/,Main
http://www.wikidata.org/,[33]
http://www.europeanspallationsource.se/,[90]
http://www.usnews.com/,[25]
http://www.ki.se/,[56]
http://www.circare.org/,[64]
http://www.worldcat.org/,[36]
http://www.rudbeck.uu.se/,[4]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.blogs.sweden.se/,[94]
http://www.catalogue.bnf.fr/,[38]
http://www.uli.nli.org.il/,[41]
http://www.natgeotraveller.in/,[133]
http://www.topuniversities.com/,[23]
http://www.worldcat.org/,[36]
http://www.thestandard.com.hk/,[59]
http://www.ci.nii.ac.jp/,[81]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.lunduniversity.lu.se/,[88]
http://www.journals.elsevier.com/,[86]
http://www.unt.se/,[16]
http://www.wikidata.org/,[33]
http://www.leidenranking.com/,[22]
http://www.kopkatalogs.lv/,[80]
http://www.ki.se/,[56]
http://www.isa.org/,[123]
http://www.blogs.sweden.se/,[94]
http://www.doi.org/,[63]
http://www.angstrom.uu.se/,[6]
http://www.mediawiki.org/,[55]
http://www.opac.vatlib.it/,[47]
http://www.ghostarchive.org/,[28]
http://www.euroscholars.eu/,[101]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.blogs.sweden.se/,[94]
http://www.svt.se/,[67]
http://www.lunduniversity.lu.se/,[88]
http://www.afuu.org/,[32]
http://www.acton.org/,[109]
http://www.afuu.org/,[32]
http://www.dagensmedicin.se/,[70]
http://www.circare.org/,[64]
http://www.data.bnf.fr/,[39]
http://www.data.bnf.fr/,[39]
http://www.regeringen.se/,[106]
http://www.shanghairanking.com/,[10]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.api.semanticscholar.org/,[68]
http://www.ef.co.nz/,[126]
http://www.rudbeck.uu.se/,[4]
http://www.unt.se/,[16]
http://www.creativecommons.org/,[51]
http://www.cwur.org/,[21]
http://www.en.wiktionary.org/,[3]
http://www.retractionwatch.com/,[62]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.geohack.toolforge.org/,[2]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.d-nb.info/,[40]
http://www.kth.se/,[73]
http://www.the-guild.eu/,[9]
http://www.sverigesradio.se/,[18]
http://www.ch.lu.se/,[96]
http://www.upsalafaktning.se/,[20]
http://www.uu.se/,[1]
http://www.roundranking.com/,[57]
http://www.lub.lu.se/,[98]
http://www.kth.se/,[73]
http://www.bbc.com/,[69]
http://www.usnews.com/,[25]
