Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.libris.kb.se/,Main
http://www.isni.org/,[34]
http://www.archive.today/,[105]
http://www.tekniskamuseet.se/,[74]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.universityworldnews.com/,[58]
http://www.nla.gov.au/,[44]
http://www.id.loc.gov/,[42]
http://www.worldcat.org/,[36]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.circare.org/,[64]
http://www.nla.gov.au/,[44]
http://www.ki.se/,[56]
http://www.edumaritime.net/,[89]
http://www.timeshighereducation.com/,[24]
http://www.kth.se/,[73]
http://www.web.archive.org/,[8]
http://www.paked.net/,[31]
http://www.geo.uu.se/,[5]
http://www.student.uu.se/,[30]
http://www.uu.se/,[1]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.uu.se/,[1]
http://www.thestandard.com.hk/,[59]
http://www.universityworldnews.com/,[58]
http://www.libris.kb.se/,[46]
http://www.paked.net/,[31]
http://www.euroscholars.eu/,[101]
http://www.afuu.org/,[32]
http://www.sfv.se/,[78]
http://www.uu.se/,[1]
http://www.bbc.co.uk/,[71]
http://www.d-nb.info/,[40]
http://www.eshet.net/,[108]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.kth.se/,[73]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.en.wiktionary.org/,[3]
http://www.wikimediafoundation.org/,[53]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.circ.ahajournals.org/,[119]
http://www.data.rero.ch/,[83]
http://www.thelocal.se/,[17]
http://www.leidenranking.com/,[22]
http://www.doi.org/,[63]
http://www.wikimediafoundation.org/,[53]
http://www.lub.lu.se/,[98]
http://www.kth.se/,[73]
http://www.libris.kb.se/,[46]
http://www.api.semanticscholar.org/,[68]
http://www.paked.net/,[31]
http://www.svt.se/,[67]
http://www.circare.org/,[64]
http://www.d-nb.info/,[40]
http://www.wikidata.org/,[33]
http://www.rudbeck.uu.se/,[4]
http://www.wolffund.org.il/,[121]
http://www.lu.se/,[87]
http://www.ch.lu.se/,[96]
http://www.campusgotland.uu.se/,[7]
http://www.ki.se/,[56]
http://www.wolffund.org.il/,[121]
http://www.thelocal.se/,[17]
