Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.linnaeus.c18.net/,Main
http://www.angstrom.uu.se/,[6]
http://www.bbc.co.uk/,[71]
http://www.wolffund.org.il/,[121]
http://www.student.uu.se/,[30]
http://www.uu.se/,[1]
http://www.uli.nli.org.il/,[41]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.data.rero.ch/,[83]
http://www.kth.se/,[73]
http://www.gu.se/,[132]
http://www.creativecommons.org/,[51]
http://www.creativecommons.org/,[51]
http://www.creativecommons.org/,[51]
http://www.ki.se/,[56]
http://www.scmp.com/,[60]
http://www.circ.ahajournals.org/,[119]
http://www.commons.wikimedia.org/,[29]
http://www.mises.org/,[110]
http://www.student.uu.se/,[30]
http://www.universityworldnews.com/,[58]
http://www.isni.org/,[34]
http://www.kth.se/,[73]
http://www.slu.se/,[84]
http://www.uu.se/,[1]
http://www.lundagard.se/,[91]
http://www.afbostader.se/,[107]
http://www.ch.lu.se/,[96]
http://www.student.uu.se/,[30]
http://www.data.nlg.gr/,[45]
http://www.scb.se/,[93]
http://www.doi.org/,[63]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.isni.org/,[34]
http://www.archive.today/,[105]
http://www.authority.bibsys.no/,[37]
http://www.creativecommons.org/,[51]
http://www.the-guild.eu/,[9]
http://www.rudbeck.uu.se/,[4]
http://www.roundranking.com/,[57]
http://www.idref.fr/,[49]
http://www.lundagard.se/,[91]
http://www.student.uu.se/,[30]
http://www.edumaritime.net/,[89]
http://www.topuniversities.com/,[23]
http://www.the-guild.eu/,[9]
http://www.retractionwatch.com/,[62]
http://www.aleph.nkp.cz/,[43]
http://www.doi.org/,[63]
http://www.linnaeus.c18.net/,[114]
http://www.data.nlg.gr/,[45]
http://www.viaf.org/,[35]
http://www.regeringen.se/,[106]
http://www.cantic.bnc.cat/,[130]
