Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.lu.se/,Main
http://www.isni.org/,[34]
http://www.viaf.org/,[35]
http://www.ki.se/,[56]
http://www.bbc.com/,[69]
http://www.rudbeck.uu.se/,[4]
http://www.kth.se/,[73]
http://www.aop.se/,[77]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.ep.liu.se/,[111]
http://www.doi.org/,[63]
http://www.eshet.net/,[108]
http://www.bbc.com/,[69]
http://www.bbc.com/,[69]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.afbostader.se/,[107]
http://www.worldcat.org/,[36]
http://www.wikidata.org/,[33]
http://www.uli.nli.org.il/,[41]
http://www.wolffund.org.il/,[121]
http://www.archive.today/,[105]
http://www.eshet.net/,[108]
http://www.leidenranking.com/,[22]
http://www.bbc.co.uk/,[71]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.doi.org/,[63]
http://www.jur.uu.se/,[13]
http://www.ergo.nu/,[19]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.e.kth.se/,[79]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.d-nb.info/,[40]
http://www.circare.org/,[64]
http://www.universityworldnews.com/,[58]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.genus.se/,[134]
http://www.kth.se/,[73]
http://www.isni.org/,[34]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.universityworldnews.com/,[58]
http://www.usnews.com/,[25]
http://www.retractionwatch.com/,[62]
http://www.jur.uu.se/,[13]
http://www.webometrics.info/,[11]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.leidenranking.com/,[22]
http://www.mises.org/,[110]
http://www.data.nlg.gr/,[45]
http://www.rudbeck.uu.se/,[4]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.runeberg.org/,[125]
http://www.data.bnf.fr/,[39]
http://www.shanghairanking.com/,[10]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.proton-therapy.org/,[15]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.opac.vatlib.it/,[47]
http://www.slu.se/,[84]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.journals.elsevier.com/,[86]
http://www.kopkatalogs.lv/,[80]
http://www.ki.se/,[56]
http://www.data.nlg.gr/,[45]
http://www.ehl.lu.se/,[100]
http://www.wolffund.org.il/,[121]
http://www.fsas.uu.se/,[12]
http://www.uu.se/,[1]
http://www.afbostader.se/,[107]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.mediawiki.org/,[55]
http://www.retractionwatch.com/,[62]
http://www.topuniversities.com/,[23]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.wikimediafoundation.org/,[53]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.glamourmagazine.co.uk/,[129]
http://www.dagensmedicin.se/,[70]
http://www.getty.edu/,[48]
http://www.leidenranking.com/,[22]
