Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.lub.lu.se/,Main
http://www.ki.se/,[56]
http://www.archive.today/,[105]
http://www.ghostarchive.org/,[28]
http://www.topuniversities.com/,[23]
http://www.linnaeus.c18.net/,[114]
http://www.linnaeus.c18.net/,[114]
http://www.uu.se/,[1]
http://www.biomus.lu.se/,[97]
http://www.books.google.com/,[75]
http://www.bbc.co.uk/,[71]
http://www.commons.wikimedia.org/,[29]
http://www.leidenranking.com/,[22]
http://www.sverigesradio.se/,[18]
http://www.paked.net/,[31]
http://www.ki.se/,[56]
http://www.ergo.nu/,[19]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.angstrom.uu.se/,[6]
http://www.jur.uu.se/,[13]
http://www.ergo.nu/,[19]
http://www.genus.se/,[134]
http://www.nytimes.com/,[61]
http://www.isa.org/,[123]
http://www.kth.se/,[73]
http://www.geohack.toolforge.org/,[2]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.gu.se/,[132]
http://www.books.google.com/,[75]
http://www.leidenranking.com/,[22]
