Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.luis.lu.se/,Main
http://www.scmp.com/,[60]
http://www.doi.org/,[63]
http://www.ci.nii.ac.jp/,[81]
http://www.gu.se/,[132]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.worldcat.org/,[36]
http://www.commons.wikimedia.org/,[29]
http://www.cwur.org/,[21]
http://www.natgeotraveller.in/,[133]
http://www.foundation.wikimedia.org/,[52]
http://www.ghostarchive.org/,[28]
http://www.slu.se/,[84]
http://www.angstrom.uu.se/,[6]
http://www.usnews.com/,[25]
http://www.upsalafaktning.se/,[20]
http://www.topuniversities.com/,[23]
http://www.jur.uu.se/,[13]
http://www.luis.lu.se/,[104]
http://www.nla.gov.au/,[44]
http://www.kth.se/,[73]
http://www.cantic.bnc.cat/,[130]
http://www.scb.se/,[93]
http://www.data.bnf.fr/,[39]
http://www.ki.se/,[56]
http://www.ch.lu.se/,[96]
http://www.thelocal.se/,[17]
http://www.upsalafaktning.se/,[20]
http://www.svt.se/,[67]
http://www.rudbeck.uu.se/,[4]
http://www.nytimes.com/,[61]
http://www.d-nb.info/,[40]
http://www.wolffund.org.il/,[121]
http://www.idref.fr/,[49]
http://www.worldcat.org/,[36]
http://www.proton-therapy.org/,[15]
http://www.viaf.org/,[35]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.api.semanticscholar.org/,[68]
http://www.uu.se/,[1]
http://www.roundranking.com/,[57]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.kopkatalogs.lv/,[80]
http://www.fsas.uu.se/,[12]
http://www.topuniversities.com/,[23]
http://www.wikimediafoundation.org/,[53]
http://www.axelsons.com/,[116]
http://www.campusgotland.uu.se/,[7]
http://www.opac.vatlib.it/,[47]
http://www.cwur.org/,[21]
http://www.unt.se/,[16]
http://www.authority.bibsys.no/,[37]
http://www.blogs.sweden.se/,[94]
http://www.kth.se/,[73]
