Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.lundagard.se/,Main
http://www.runeberg.org/,[125]
http://www.ghostarchive.org/,[28]
http://www.circ.ahajournals.org/,[119]
http://www.ftp.cordis.europa.eu/,[102]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.developer.wikimedia.org/,[54]
http://www.europeanspallationsource.se/,[90]
http://www.worldcat.org/,[36]
http://www.gu.se/,[132]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.id.loc.gov/,[42]
http://www.uu.se/,[1]
http://www.mediawiki.org/,[55]
http://www.aleph.nkp.cz/,[43]
http://www.api.semanticscholar.org/,[68]
http://www.topuniversities.com/,[23]
http://www.trove.nla.gov.au/,[50]
http://www.ki.se/,[56]
http://www.campusgotland.uu.se/,[7]
http://www.ki.se/,[56]
http://www.nytimes.com/,[61]
http://www.data.bnf.fr/,[39]
http://www.ki.se/,[56]
http://www.jstor.org/,[124]
http://www.kth.se/,[73]
http://www.getty.edu/,[48]
http://www.archive.today/,[105]
http://www.uu.se/,[1]
http://www.linnaeus.c18.net/,[114]
http://www.jstor.org/,[124]
http://www.unt.se/,[16]
http://www.the-guild.eu/,[9]
http://www.usnews.com/,[25]
http://www.paked.net/,[31]
http://www.ki.se/,[56]
http://www.authority.bibsys.no/,[37]
http://www.commons.wikimedia.org/,[29]
http://www.ep.liu.se/,[111]
http://www.authority.bibsys.no/,[37]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.geo.uu.se/,[5]
http://www.lundagard.se/,[91]
http://www.developer.wikimedia.org/,[54]
http://www.angstrom.uu.se/,[6]
http://www.unt.se/,[16]
http://www.diva-portal.org/,[76]
http://www.kth.se/,[73]
http://www.gu.se/,[132]
http://www.nytimes.com/,[61]
http://www.upsalafaktning.se/,[20]
http://www.developer.wikimedia.org/,[54]
http://www.ergo.nu/,[19]
http://www.tekniskamuseet.se/,[74]
http://www.ergo.nu/,[19]
http://www.scmp.com/,[60]
http://www.nla.gov.au/,[44]
http://www.viaf.org/,[35]
http://www.uli.nli.org.il/,[41]
http://www.uli.nli.org.il/,[41]
http://www.archive.today/,[105]
http://www.kth.se/,[73]
http://www.wikimediafoundation.org/,[53]
http://www.paked.net/,[31]
http://www.europeanspallationsource.se/,[90]
