Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.lundtan.lundaekonomerna.se/,Main
http://www.commons.wikimedia.org/,[29]
http://www.svt.se/,[67]
http://www.campusgotland.uu.se/,[7]
http://www.campusgotland.uu.se/,[7]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.commons.wikimedia.org/,[29]
http://www.idref.fr/,[49]
http://www.glamourmagazine.co.uk/,[129]
http://www.en.wiktionary.org/,[3]
http://www.retractionwatch.com/,[62]
http://www.upsalafaktning.se/,[20]
http://www.jur.uu.se/,[13]
http://www.libris.kb.se/,[46]
http://www.geohack.toolforge.org/,[2]
http://www.mises.org/,[110]
http://www.the-guild.eu/,[9]
http://www.youtube.com/,[27]
http://www.luis.lu.se/,[104]
http://www.wolffund.org.il/,[121]
http://www.bbc.co.uk/,[71]
http://www.ghostarchive.org/,[28]
http://www.archive.org/,[118]
http://www.proton-therapy.org/,[15]
http://www.diva-portal.org/,[76]
http://www.data.rero.ch/,[83]
http://www.topuniversities.com/,[23]
http://www.student.uu.se/,[30]
http://www.en.wiktionary.org/,[3]
http://www.europeanspallationsource.se/,[90]
