Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.lunduniversity.lu.se/,Main
http://www.paked.net/,[31]
http://www.idref.fr/,[49]
http://www.gu.se/,[132]
http://www.ki.se/,[56]
http://www.mediawiki.org/,[55]
http://www.kth.se/,[73]
http://www.slu.se/,[84]
http://www.britannica.com/,[115]
http://www.usnews.com/,[25]
http://www.foundation.wikimedia.org/,[52]
http://www.nytimes.com/,[61]
http://www.ef.co.nz/,[126]
http://www.doi.org/,[63]
http://www.geo.uu.se/,[5]
http://www.ghostarchive.org/,[28]
http://www.musicbrainz.org/,[82]
http://www.roundranking.com/,[57]
http://www.doi.org/,[63]
http://www.aop.se/,[77]
http://www.asbmb.org.au/,[120]
http://www.ep.liu.se/,[111]
http://www.kth.se/,[73]
