Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.manniskohjalp.se/,Main
http://www.web.archive.org/,[8]
http://www.data.nlg.gr/,[45]
http://www.d-nb.info/,[40]
http://www.doi.org/,[63]
http://www.student.uu.se/,[30]
http://www.cantic.bnc.cat/,[130]
http://www.axelsons.com/,[116]
http://www.scb.se/,[93]
http://www.ki.se/,[56]
http://www.afuu.org/,[32]
http://www.edumaritime.net/,[89]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.euroscholars.eu/,[101]
http://www.ci.nii.ac.jp/,[81]
http://www.getty.edu/,[48]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.webometrics.info/,[11]
http://www.ki.se/,[56]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.sydsvenskan.se/,[128]
http://www.isni.org/,[34]
http://www.en.wiktionary.org/,[3]
http://www.glamourmagazine.co.uk/,[129]
http://www.kth.se/,[73]
http://www.d-nb.info/,[40]
http://www.matarikinetwork.org/,[26]
http://www.kth.se/,[73]
http://www.uli.nli.org.il/,[41]
http://www.afbostader.se/,[107]
http://www.creativecommons.org/,[51]
http://www.leidenranking.com/,[22]
http://www.mbl.is/,[113]
http://www.getty.edu/,[48]
http://www.jur.uu.se/,[13]
http://www.diva-portal.org/,[76]
http://www.uu.se/,[1]
http://www.uli.nli.org.il/,[41]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.tsl.uu.se/,[14]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.lunduniversity.lu.se/,[88]
http://www.idref.fr/,[49]
http://www.ki.se/,[56]
http://www.journals.elsevier.com/,[86]
http://www.uu.se/,[1]
http://www.lundagard.se/,[91]
http://www.kth.se/,[73]
http://www.director.co.uk/,[127]
http://www.unt.se/,[16]
http://www.viaf.org/,[35]
http://www.jur.uu.se/,[13]
http://www.ef.co.nz/,[126]
http://www.thelocal.se/,[17]
http://www.authority.bibsys.no/,[37]
http://www.angstrom.uu.se/,[6]
http://www.angstrom.uu.se/,[6]
http://www.en.wiktionary.org/,[3]
http://www.unt.se/,[16]
http://www.shanghairanking.com/,[10]
http://www.aleph.nkp.cz/,[43]
http://www.ci.nii.ac.jp/,[81]
http://www.ki.se/,[56]
http://www.euroscholars.eu/,[101]
http://www.ftp.cordis.europa.eu/,[102]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.cantic.bnc.cat/,[130]
http://www.idref.fr/,[49]
http://www.archive.org/,[118]
http://www.genus.se/,[134]
http://www.wikimediafoundation.org/,[53]
http://www.geo.uu.se/,[5]
http://www.lu.se/,[87]
http://www.jur.uu.se/,[13]
http://www.angstrom.uu.se/,[6]
http://www.diva-portal.org/,[76]
http://www.getty.edu/,[48]
http://www.uu.se/,[1]
http://www.web.archive.org/,[8]
http://www.ki.se/,[56]
