Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.matarikinetwork.org/,Main
http://www.chiropractorswarwick.co.uk/,[117]
http://www.id.loc.gov/,[42]
http://www.bbc.com/,[69]
http://www.the-guild.eu/,[9]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.asbmb.org.au/,[120]
http://www.kth.se/,[73]
http://www.afuu.org/,[32]
http://www.books.google.com/,[75]
http://www.ki.se/,[56]
http://www.bbc.co.uk/,[71]
http://www.kth.se/,[73]
http://www.gu.se/,[132]
http://www.afuu.org/,[32]
