Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.mbl.is/,Main
http://www.archive.today/,[105]
http://www.ef.co.nz/,[126]
http://www.glamourmagazine.co.uk/,[129]
http://www.scmp.com/,[60]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.mises.org/,[110]
http://www.britannica.com/,[115]
http://www.lundagard.se/,[91]
http://www.trove.nla.gov.au/,[50]
http://www.creativecommons.org/,[51]
http://www.afuu.org/,[32]
http://www.ec.europa.eu/,[103]
http://www.timeshighereducation.com/,[24]
http://www.ch.lu.se/,[96]
http://www.id.loc.gov/,[42]
http://www.ehl.lu.se/,[100]
http://www.student.uu.se/,[30]
http://www.sverigesradio.se/,[18]
http://www.ki.se/,[56]
http://www.ehl.lu.se/,[100]
http://www.catalogue.bnf.fr/,[38]
http://www.ghostarchive.org/,[28]
http://www.kth.se/,[73]
http://www.paked.net/,[31]
http://www.web.archive.org/,[8]
http://www.upsalafaktning.se/,[20]
http://www.libris.kb.se/,[46]
http://www.scmp.com/,[60]
http://www.uu.se/,[1]
http://www.tsl.uu.se/,[14]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.acton.org/,[109]
http://www.catalogue.bnf.fr/,[38]
http://www.euroscholars.eu/,[101]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.bbc.com/,[69]
http://www.kth.se/,[73]
http://www.api.semanticscholar.org/,[68]
http://www.lu.se/,[87]
http://www.uu.se/,[1]
