Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.med.lu.se/,Main
http://www.circare.org/,[64]
http://www.commons.wikimedia.org/,[29]
http://www.fsas.uu.se/,[12]
http://www.universityworldnews.com/,[58]
http://www.uu.se/,[1]
http://www.glamourmagazine.co.uk/,[129]
http://www.nla.gov.au/,[44]
http://www.uli.nli.org.il/,[41]
http://www.lu.se/,[87]
http://www.web.archive.org/,[8]
http://www.unt.se/,[16]
http://www.campusgotland.uu.se/,[7]
http://www.internt.slu.se/,[85]
http://www.kth.se/,[73]
http://www.jur.uu.se/,[13]
http://www.isa.org/,[123]
http://www.student.uu.se/,[30]
http://www.cwur.org/,[21]
http://www.cwur.org/,[21]
http://www.aop.se/,[77]
http://www.ghostarchive.org/,[28]
http://www.student.uu.se/,[30]
http://www.kopkatalogs.lv/,[80]
http://www.kth.se/,[73]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.ghostarchive.org/,[28]
http://www.opac.vatlib.it/,[47]
http://www.eshet.net/,[108]
http://www.tekniskamuseet.se/,[74]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.foundation.wikimedia.org/,[52]
http://www.ergo.nu/,[19]
http://www.uli.nli.org.il/,[41]
http://www.d-nb.info/,[40]
http://www.archive.org/,[118]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.kopkatalogs.lv/,[80]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.student.uu.se/,[30]
http://www.angstrom.uu.se/,[6]
http://www.svt.se/,[67]
http://www.retractionwatch.com/,[62]
http://www.uli.nli.org.il/,[41]
http://www.sydsvenskan.se/,[128]
http://www.afuu.org/,[32]
http://www.catalogo.bne.es/,[72]
http://www.trove.nla.gov.au/,[50]
http://www.svt.se/,[67]
http://www.rudbeck.uu.se/,[4]
http://www.catalogue.bnf.fr/,[38]
http://www.libris.kb.se/,[46]
http://www.shanghairanking.com/,[10]
http://www.europeanspallationsource.se/,[90]
http://www.uu.se/,[1]
http://www.commons.wikimedia.org/,[29]
http://www.uli.nli.org.il/,[41]
http://www.paked.net/,[31]
http://www.tsl.uu.se/,[14]
http://www.jur.uu.se/,[13]
http://www.idref.fr/,[49]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.geo.uu.se/,[5]
http://www.wikidata.org/,[33]
http://www.doi.org/,[63]
http://www.kth.se/,[73]
http://www.doi.org/,[63]
http://www.lu.se/,[87]
http://www.uu.se/,[1]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.catalogo.bne.es/,[72]
http://www.eshet.net/,[108]
http://www.lu.se/,[87]
http://www.isni.org/,[34]
http://www.sverigesradio.se/,[18]
http://www.libris.kb.se/,[46]
http://www.wikimediafoundation.org/,[53]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.afuu.org/,[32]
http://www.foundation.wikimedia.org/,[52]
http://www.svt.se/,[67]
http://www.viaf.org/,[35]
http://www.angstrom.uu.se/,[6]
http://www.bbc.co.uk/,[71]
http://www.idref.fr/,[49]
http://www.data.nlg.gr/,[45]
http://www.runeberg.org/,[125]
http://www.data.rero.ch/,[83]
http://www.matarikinetwork.org/,[26]
http://www.student.uu.se/,[30]
