Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.mediawiki.org/,Main
http://www.glamourmagazine.co.uk/,[129]
http://www.wikidata.org/,[33]
http://www.ec.europa.eu/,[103]
http://www.kopkatalogs.lv/,[80]
http://www.diva-portal.org/,[76]
http://www.ec.europa.eu/,[103]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.diva-portal.org/,[76]
http://www.afbostader.se/,[107]
http://www.kopkatalogs.lv/,[80]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.natgeotraveller.in/,[133]
http://www.dagensmedicin.se/,[70]
http://www.fsas.uu.se/,[12]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.ftp.cordis.europa.eu/,[102]
http://www.ef.co.nz/,[126]
http://www.commons.wikimedia.org/,[29]
