Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.mises.org/,Main
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.kth.se/,[73]
http://www.retractionwatch.com/,[62]
http://www.topuniversities.com/,[23]
http://www.nytimes.com/,[61]
http://www.acton.org/,[109]
http://www.circ.ahajournals.org/,[119]
http://www.ch.lu.se/,[96]
http://www.tsl.uu.se/,[14]
http://www.tsl.uu.se/,[14]
http://www.timeshighereducation.com/,[24]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.tekniskamuseet.se/,[74]
http://www.sverigesradio.se/,[18]
http://www.kth.se/,[73]
