Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.musicbrainz.org/,Main
http://www.campusgotland.uu.se/,[7]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.unt.se/,[16]
http://www.rudbeck.uu.se/,[4]
http://www.aop.se/,[77]
http://www.uu.se/,[1]
http://www.geohack.toolforge.org/,[2]
http://www.circare.org/,[64]
http://www.edumaritime.net/,[89]
http://www.creativecommons.org/,[51]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.web.archive.org/,[8]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.d-nb.info/,[40]
http://www.ghostarchive.org/,[28]
http://www.universityworldnews.com/,[58]
http://www.doi.org/,[63]
http://www.catalogue.bnf.fr/,[38]
http://www.luis.lu.se/,[104]
http://www.uu.se/,[1]
http://www.matarikinetwork.org/,[26]
http://www.matarikinetwork.org/,[26]
http://www.dagensmedicin.se/,[70]
http://www.runeberg.org/,[125]
http://www.luis.lu.se/,[104]
http://www.archive.org/,[118]
http://www.data.rero.ch/,[83]
http://www.fsas.uu.se/,[12]
http://www.nytimes.com/,[61]
http://www.scmp.com/,[60]
http://www.ehl.lu.se/,[100]
http://www.creativecommons.org/,[51]
http://www.thestandard.com.hk/,[59]
http://www.journals.elsevier.com/,[86]
http://www.uu.se/,[1]
http://www.glamourmagazine.co.uk/,[129]
http://www.kth.se/,[73]
http://www.ec.europa.eu/,[103]
http://www.nla.gov.au/,[44]
http://www.ep.liu.se/,[111]
http://www.axelsons.com/,[116]
http://www.universityworldnews.com/,[58]
http://www.data.nlg.gr/,[45]
http://www.leidenranking.com/,[22]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.e.kth.se/,[79]
http://www.topuniversities.com/,[23]
http://www.uu.se/,[1]
http://www.nla.gov.au/,[44]
http://www.opac.vatlib.it/,[47]
http://www.collections.tepapa.govt.nz/,[131]
http://www.isa.org/,[123]
http://www.opac.vatlib.it/,[47]
http://www.ki.se/,[56]
http://www.nla.gov.au/,[44]
http://www.archive.today/,[105]
http://www.upsalafaktning.se/,[20]
http://www.universityworldnews.com/,[58]
http://www.uli.nli.org.il/,[41]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.wikidata.org/,[33]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.afbostader.se/,[107]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.acton.org/,[109]
http://www.en.wiktionary.org/,[3]
http://www.afbostader.se/,[107]
http://www.api.semanticscholar.org/,[68]
http://www.id.loc.gov/,[42]
http://www.britannica.com/,[115]
http://www.ki.se/,[56]
http://www.ep.liu.se/,[111]
http://www.fsas.uu.se/,[12]
