Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.natgeotraveller.in/,Main
http://www.bbc.co.uk/,[71]
http://www.nytimes.com/,[61]
http://www.paked.net/,[31]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.campusgotland.uu.se/,[7]
http://www.youtube.com/,[27]
http://www.bbc.com/,[69]
http://www.d-nb.info/,[40]
http://www.cwur.org/,[21]
http://www.geohack.toolforge.org/,[2]
http://www.kth.se/,[73]
http://www.bbc.com/,[69]
http://www.web.archive.org/,[8]
http://www.opac.vatlib.it/,[47]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.youtube.com/,[27]
http://www.topuniversities.com/,[23]
http://www.lu.se/,[87]
http://www.eshet.net/,[108]
