Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.nla.gov.au/,Main
http://www.acton.org/,[109]
http://www.ki.se/,[56]
http://www.worldcat.org/,[36]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.developer.wikimedia.org/,[54]
http://www.circare.org/,[64]
http://www.diva-portal.org/,[76]
http://www.kth.se/,[73]
http://www.mediawiki.org/,[55]
http://www.data.nlg.gr/,[45]
http://www.getty.edu/,[48]
http://www.data.bnf.fr/,[39]
http://www.kth.se/,[73]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.creativecommons.org/,[51]
http://www.idref.fr/,[49]
http://www.ef.co.nz/,[126]
http://www.uu.se/,[1]
http://www.collections.tepapa.govt.nz/,[131]
http://www.wikidata.org/,[33]
http://www.kth.se/,[73]
