Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.nytimes.com/,Main
http://www.trove.nla.gov.au/,[50]
http://www.uu.se/,[1]
http://www.shanghairanking.com/,[10]
http://www.sfv.se/,[78]
http://www.kth.se/,[73]
http://www.campusgotland.uu.se/,[7]
http://www.topuniversities.com/,[23]
http://www.journals.elsevier.com/,[86]
http://www.ghostarchive.org/,[28]
http://www.commons.wikimedia.org/,[29]
http://www.wikidata.org/,[33]
http://www.britannica.com/,[115]
http://www.youtube.com/,[27]
http://www.opac.vatlib.it/,[47]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.geohack.toolforge.org/,[2]
http://www.aleph.nkp.cz/,[43]
http://www.thelocal.se/,[17]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.en.wiktionary.org/,[3]
http://www.ci.nii.ac.jp/,[81]
http://www.getty.edu/,[48]
http://www.glamourmagazine.co.uk/,[129]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.scb.se/,[93]
http://www.wikimediafoundation.org/,[53]
http://www.circ.ahajournals.org/,[119]
http://www.jstor.org/,[124]
http://www.idref.fr/,[49]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.isa.org/,[123]
http://www.catalogue.bnf.fr/,[38]
http://www.dagensmedicin.se/,[70]
http://www.proton-therapy.org/,[15]
http://www.blogs.sweden.se/,[94]
http://www.kth.se/,[73]
http://www.fsas.uu.se/,[12]
http://www.catalogo.bne.es/,[72]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.commons.wikimedia.org/,[29]
http://www.proton-therapy.org/,[15]
http://www.ghostarchive.org/,[28]
http://www.geohack.toolforge.org/,[2]
http://www.wikimediafoundation.org/,[53]
http://www.axelsons.com/,[116]
http://www.edumaritime.net/,[89]
http://www.ef.co.nz/,[126]
http://www.data.nlg.gr/,[45]
http://www.aleph.nkp.cz/,[43]
http://www.isa.org/,[123]
http://www.proton-therapy.org/,[15]
http://www.unt.se/,[16]
http://www.creativecommons.org/,[51]
http://www.commons.wikimedia.org/,[29]
http://www.asbmb.org.au/,[120]
http://www.viaf.org/,[35]
http://www.tekniskamuseet.se/,[74]
http://www.isa.org/,[123]
