Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.opac.vatlib.it/,Main
http://www.sverigesradio.se/,[18]
http://www.geohack.toolforge.org/,[2]
http://www.youtube.com/,[27]
http://www.biomus.lu.se/,[97]
http://www.student.uu.se/,[30]
http://www.idref.fr/,[49]
http://www.biomus.lu.se/,[97]
http://www.getty.edu/,[48]
http://www.ki.se/,[56]
http://www.lu.se/,[87]
http://www.uu.se/,[1]
http://www.acton.org/,[109]
http://www.luis.lu.se/,[104]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.gu.se/,[132]
http://www.uu.se/,[1]
http://www.afbostader.se/,[107]
http://www.sfv.se/,[78]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.ec.europa.eu/,[103]
http://www.leidenranking.com/,[22]
http://www.catalogue.bnf.fr/,[38]
http://www.ch.lu.se/,[96]
http://www.tekniskamuseet.se/,[74]
http://www.wikidata.org/,[33]
http://www.data.bnf.fr/,[39]
http://www.bbc.co.uk/,[71]
http://www.worldcat.org/,[36]
http://www.asbmb.org.au/,[120]
http://www.aleph.nkp.cz/,[43]
http://www.creativecommons.org/,[51]
http://www.doi.org/,[63]
http://www.kth.se/,[73]
http://www.cwur.org/,[21]
http://www.kth.se/,[73]
http://www.gu.se/,[132]
http://www.books.google.com/,[75]
http://www.idref.fr/,[49]
http://www.journals.elsevier.com/,[86]
http://www.mbl.is/,[113]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.eshet.net/,[108]
http://www.wikidata.org/,[33]
http://www.sfv.se/,[78]
http://www.upsalafaktning.se/,[20]
http://www.aop.se/,[77]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.leidenranking.com/,[22]
http://www.ci.nii.ac.jp/,[81]
http://www.wikimediafoundation.org/,[53]
http://www.kth.se/,[73]
http://www.bbc.com/,[69]
http://www.viaf.org/,[35]
http://www.dagensmedicin.se/,[70]
http://www.isa.org/,[123]
http://www.wikimediafoundation.org/,[53]
http://www.ki.se/,[56]
