Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.paked.net/,Main
http://www.geo.uu.se/,[5]
http://www.campusgotland.uu.se/,[7]
http://www.lu.se/,[87]
http://www.luis.lu.se/,[104]
http://www.kth.se/,[73]
http://www.data.nlg.gr/,[45]
http://www.lu.se/,[87]
http://www.en.wiktionary.org/,[3]
http://www.usnews.com/,[25]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.kth.se/,[73]
http://www.nla.gov.au/,[44]
http://www.viaf.org/,[35]
http://www.aleph.nkp.cz/,[43]
http://www.luis.lu.se/,[104]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.nla.gov.au/,[44]
http://www.ef.co.nz/,[126]
http://www.idref.fr/,[49]
http://www.creativecommons.org/,[51]
http://www.worldcat.org/,[36]
http://www.uu.se/,[1]
http://www.data.nlg.gr/,[45]
http://www.topuniversities.com/,[23]
http://www.roundranking.com/,[57]
http://www.circ.ahajournals.org/,[119]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.authority.bibsys.no/,[37]
http://www.nytimes.com/,[61]
http://www.lu.se/,[87]
http://www.campusgotland.uu.se/,[7]
http://www.timeshighereducation.com/,[24]
http://www.thestandard.com.hk/,[59]
http://www.the-guild.eu/,[9]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.linnaeus.c18.net/,[114]
http://www.kth.se/,[73]
http://www.bbc.co.uk/,[71]
http://www.lub.lu.se/,[98]
http://www.jstor.org/,[124]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.upsalafaktning.se/,[20]
http://www.d-nb.info/,[40]
http://www.leidenranking.com/,[22]
http://www.paked.net/,[31]
http://www.uli.nli.org.il/,[41]
http://www.catalogue.bnf.fr/,[38]
http://www.en.wiktionary.org/,[3]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.kth.se/,[73]
http://www.campusgotland.uu.se/,[7]
http://www.ehl.lu.se/,[100]
http://www.afbostader.se/,[107]
http://www.leidenranking.com/,[22]
http://www.kth.se/,[73]
http://www.wolffund.org.il/,[121]
http://www.thestandard.com.hk/,[59]
http://www.kth.se/,[73]
http://www.web.archive.org/,[8]
http://www.id.loc.gov/,[42]
http://www.roundranking.com/,[57]
http://www.luis.lu.se/,[104]
http://www.afuu.org/,[32]
http://www.ki.se/,[56]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.biomus.lu.se/,[97]
http://www.edumaritime.net/,[89]
http://www.ki.se/,[56]
http://www.creativecommons.org/,[51]
http://www.campusgotland.uu.se/,[7]
http://www.doi.org/,[63]
http://www.web.archive.org/,[8]
