Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.proton-therapy.org/,Main
http://www.data.nlg.gr/,[45]
http://www.foundation.wikimedia.org/,[52]
http://www.wikidata.org/,[33]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.biomus.lu.se/,[97]
http://www.asbmb.org.au/,[120]
http://www.jur.uu.se/,[13]
http://www.asbmb.org.au/,[120]
http://www.e.kth.se/,[79]
http://www.tsl.uu.se/,[14]
http://www.timeshighereducation.com/,[24]
http://www.worldcat.org/,[36]
http://www.catalogue.bnf.fr/,[38]
http://www.med.lu.se/,[95]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.euroscholars.eu/,[101]
http://www.webometrics.info/,[11]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.thelocal.se/,[17]
http://www.proton-therapy.org/,[15]
http://www.developer.wikimedia.org/,[54]
http://www.paked.net/,[31]
http://www.uu.se/,[1]
http://www.edumaritime.net/,[89]
http://www.ki.se/,[56]
http://www.collections.tepapa.govt.nz/,[131]
http://www.commons.wikimedia.org/,[29]
http://www.journals.elsevier.com/,[86]
http://www.retractionwatch.com/,[62]
http://www.uli.nli.org.il/,[41]
http://www.youtube.com/,[27]
http://www.rudbeck.uu.se/,[4]
http://www.unt.se/,[16]
http://www.jur.uu.se/,[13]
http://www.ki.se/,[56]
http://www.ergo.nu/,[19]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.lundagard.se/,[91]
http://www.musicbrainz.org/,[82]
http://www.matarikinetwork.org/,[26]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.catalogue.bnf.fr/,[38]
http://www.rudbeck.uu.se/,[4]
http://www.foundation.wikimedia.org/,[52]
http://www.svt.se/,[67]
http://www.webometrics.info/,[11]
http://www.opac.vatlib.it/,[47]
http://www.unt.se/,[16]
http://www.proton-therapy.org/,[15]
http://www.kth.se/,[73]
http://www.data.nlg.gr/,[45]
http://www.d-nb.info/,[40]
http://www.campusgotland.uu.se/,[7]
http://www.ci.nii.ac.jp/,[81]
http://www.ci.nii.ac.jp/,[81]
http://www.wikimediafoundation.org/,[53]
http://www.mediawiki.org/,[55]
http://www.thestandard.com.hk/,[59]
http://www.libris.kb.se/,[46]
http://www.linnaeus.c18.net/,[114]
http://www.ghostarchive.org/,[28]
http://www.ci.nii.ac.jp/,[81]
http://www.uli.nli.org.il/,[41]
http://www.slu.se/,[84]
http://www.topuniversities.com/,[23]
http://www.uu.se/,[1]
http://www.ghostarchive.org/,[28]
http://www.bbc.com/,[69]
http://www.kth.se/,[73]
