Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.pubmed.ncbi.nlm.nih.gov/,Main
http://www.thelocal.se/,[17]
http://www.ftp.cordis.europa.eu/,[102]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.ch.lu.se/,[96]
http://www.kth.se/,[73]
http://www.scb.se/,[93]
http://www.ki.se/,[56]
http://www.sydsvenskan.se/,[128]
http://www.roundranking.com/,[57]
http://www.mbl.is/,[113]
http://www.data.rero.ch/,[83]
http://www.diva-portal.org/,[76]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.retractionwatch.com/,[62]
http://www.euroscholars.eu/,[101]
http://www.luis.lu.se/,[104]
http://www.geo.uu.se/,[5]
http://www.mbl.is/,[113]
http://www.afuu.org/,[32]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.linnaeus.c18.net/,[114]
http://www.timeshighereducation.com/,[24]
http://www.uu.se/,[1]
http://www.commons.wikimedia.org/,[29]
http://www.ki.se/,[56]
http://www.upsalafaktning.se/,[20]
http://www.web.archive.org/,[8]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.fsas.uu.se/,[12]
http://www.jur.uu.se/,[13]
http://www.roundranking.com/,[57]
http://www.sverigesradio.se/,[18]
http://www.sfv.se/,[78]
http://www.bbc.co.uk/,[71]
http://www.afuu.org/,[32]
http://www.kth.se/,[73]
http://www.uli.nli.org.il/,[41]
