Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.regeringen.se/,Main
http://www.timeshighereducation.com/,[24]
http://www.mises.org/,[110]
http://www.youtube.com/,[27]
http://www.kth.se/,[73]
http://www.books.google.com/,[75]
http://www.aop.se/,[77]
http://www.tsl.uu.se/,[14]
http://www.internt.slu.se/,[85]
http://www.matarikinetwork.org/,[26]
http://www.director.co.uk/,[127]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.libris.kb.se/,[46]
http://www.uu.se/,[1]
http://www.ghostarchive.org/,[28]
http://www.mediawiki.org/,[55]
http://www.kth.se/,[73]
http://www.catalogue.bnf.fr/,[38]
http://www.web.archive.org/,[8]
http://www.uu.se/,[1]
http://www.universityworldnews.com/,[58]
http://www.id.loc.gov/,[42]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.data.nlg.gr/,[45]
http://www.creativecommons.org/,[51]
http://www.d-nb.info/,[40]
http://www.acton.org/,[109]
http://www.uu.se/,[1]
http://www.thelocal.se/,[17]
http://www.bbc.com/,[69]
http://www.webometrics.info/,[11]
http://www.ki.se/,[56]
http://www.thestandard.com.hk/,[59]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.mbl.is/,[113]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.foundation.wikimedia.org/,[52]
http://www.e.kth.se/,[79]
http://www.data.nlg.gr/,[45]
http://www.kth.se/,[73]
http://www.foundation.wikimedia.org/,[52]
http://www.timeshighereducation.com/,[24]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.paked.net/,[31]
http://www.shanghairanking.com/,[10]
http://www.doi.org/,[63]
http://www.tekniskamuseet.se/,[74]
http://www.euroscholars.eu/,[101]
http://www.acton.org/,[109]
http://www.nytimes.com/,[61]
http://www.universityworldnews.com/,[58]
http://www.angstrom.uu.se/,[6]
http://www.eshet.net/,[108]
http://www.angstrom.uu.se/,[6]
http://www.timeshighereducation.com/,[24]
http://www.proton-therapy.org/,[15]
http://www.wikidata.org/,[33]
http://www.data.bnf.fr/,[39]
http://www.mediawiki.org/,[55]
http://www.tsl.uu.se/,[14]
http://www.catalogo.bne.es/,[72]
http://www.ec.europa.eu/,[103]
http://www.webometrics.info/,[11]
http://www.opac.vatlib.it/,[47]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.shanghairanking.com/,[10]
http://www.commons.wikimedia.org/,[29]
http://www.authority.bibsys.no/,[37]
http://www.ki.se/,[56]
http://www.biomus.lu.se/,[97]
http://www.developer.wikimedia.org/,[54]
http://www.musicbrainz.org/,[82]
http://www.ki.se/,[56]
http://www.campusgotland.uu.se/,[7]
http://www.ki.se/,[56]
http://www.proton-therapy.org/,[15]
http://www.jur.uu.se/,[13]
http://www.ci.nii.ac.jp/,[81]
http://www.student.uu.se/,[30]
http://www.webometrics.info/,[11]
http://www.ef.co.nz/,[126]
http://www.libris.kb.se/,[46]
http://www.glamourmagazine.co.uk/,[129]
http://www.d-nb.info/,[40]
http://www.uu.se/,[1]
