Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.retractionwatch.com/,Main
http://www.uu.se/,[1]
http://www.campusgotland.uu.se/,[7]
http://www.thestandard.com.hk/,[59]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.ki.se/,[56]
http://www.ghostarchive.org/,[28]
http://www.geo.uu.se/,[5]
http://www.lu.se/,[87]
http://www.isni.org/,[34]
http://www.aop.se/,[77]
http://www.kth.se/,[73]
http://www.linnaeus.c18.net/,[114]
http://www.doi.org/,[63]
http://www.d-nb.info/,[40]
http://www.en.wiktionary.org/,[3]
http://www.kth.se/,[73]
http://www.authority.bibsys.no/,[37]
http://www.idref.fr/,[49]
http://www.uu.se/,[1]
http://www.aleph.nkp.cz/,[43]
http://www.trove.nla.gov.au/,[50]
http://www.mises.org/,[110]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.viaf.org/,[35]
http://www.campusgotland.uu.se/,[7]
http://www.webometrics.info/,[11]
http://www.trove.nla.gov.au/,[50]
http://www.lub.lu.se/,[98]
http://www.sverigesradio.se/,[18]
http://www.wikimediafoundation.org/,[53]
http://www.webometrics.info/,[11]
http://www.musicbrainz.org/,[82]
http://www.youtube.com/,[27]
http://www.fsas.uu.se/,[12]
http://www.diva-portal.org/,[76]
http://www.paked.net/,[31]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.lunduniversity.lu.se/,[88]
http://www.kth.se/,[73]
http://www.wikidata.org/,[33]
http://www.archive.org/,[118]
http://www.slu.se/,[84]
http://www.ki.se/,[56]
http://www.id.loc.gov/,[42]
http://www.fsas.uu.se/,[12]
http://www.kth.se/,[73]
http://www.archive.org/,[118]
http://www.viaf.org/,[35]
http://www.dagensmedicin.se/,[70]
http://www.data.nlg.gr/,[45]
http://www.director.co.uk/,[127]
http://www.timeshighereducation.com/,[24]
http://www.kopkatalogs.lv/,[80]
http://www.tsl.uu.se/,[14]
http://www.libris.kb.se/,[46]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.circ.ahajournals.org/,[119]
http://www.regeringen.se/,[106]
http://www.ki.se/,[56]
