Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.rudbeck.uu.se/,Main
http://www.shanghairanking.com/,[10]
http://www.leidenranking.com/,[22]
http://www.creativecommons.org/,[51]
http://www.med.lu.se/,[95]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.data.bnf.fr/,[39]
http://www.kth.se/,[73]
http://www.cwur.org/,[21]
http://www.student.uu.se/,[30]
http://www.jur.uu.se/,[13]
http://www.wolffund.org.il/,[121]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.jstor.org/,[124]
http://www.foundation.wikimedia.org/,[52]
http://www.thestandard.com.hk/,[59]
http://www.angstrom.uu.se/,[6]
http://www.tekniskamuseet.se/,[74]
http://www.britannica.com/,[115]
http://www.ki.se/,[56]
http://www.timeshighereducation.com/,[24]
http://www.opac.vatlib.it/,[47]
http://www.uu.se/,[1]
http://www.fsas.uu.se/,[12]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
http://www.id.loc.gov/,[42]
http://www.kth.se/,[73]
http://www.leidenranking.com/,[22]
http://www.archive.org/,[118]
http://www.uu.se/,[1]
http://www.fsas.uu.se/,[12]
http://www.geo.uu.se/,[5]
http://www.runeberg.org/,[125]
http://www.viaf.org/,[35]
