Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.runeberg.org/,Main
http://www.diva-portal.org/,[76]
http://www.archive.org/,[118]
http://www.student.uu.se/,[30]
http://www.aleph.nkp.cz/,[43]
http://www.blogs.sweden.se/,[94]
http://www.regeringen.se/,[106]
http://www.biomus.lu.se/,[97]
http://www.afbostader.se/,[107]
http://www.aleph.nkp.cz/,[43]
http://www.getty.edu/,[48]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.developer.wikimedia.org/,[54]
http://www.opac.vatlib.it/,[47]
http://www.uu.se/,[1]
http://www.web.archive.org/,[8]
http://www.viaf.org/,[35]
http://www.d-nb.info/,[40]
http://www.archive.today/,[105]
http://www.bbc.co.uk/,[71]
http://www.jstor.org/,[124]
http://www.unt.se/,[16]
http://www.fsas.uu.se/,[12]
http://www.dagensmedicin.se/,[70]
