Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.scb.se/,Main
http://www.commons.wikimedia.org/,[29]
http://www.angstrom.uu.se/,[6]
http://www.uu.se/,[1]
http://www.rudbeck.uu.se/,[4]
http://www.timeshighereducation.com/,[24]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
http://www.webometrics.info/,[11]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.geohack.toolforge.org/,[2]
http://www.d-nb.info/,[40]
http://www.tekniskamuseet.se/,[74]
http://www.sfv.se/,[78]
http://www.ki.se/,[56]
http://www.nla.gov.au/,[44]
http://www.topuniversities.com/,[23]
http://www.books.google.com/,[75]
http://www.svt.se/,[67]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.timeshighereducation.com/,[24]
http://www.lub.lu.se/,[98]
http://www.thestandard.com.hk/,[59]
http://www.commons.wikimedia.org/,[29]
http://www.shanghairanking.com/,[10]
http://www.idref.fr/,[49]
http://www.kth.se/,[73]
http://www.internt.slu.se/,[85]
http://www.ghostarchive.org/,[28]
http://www.diva-portal.org/,[76]
http://www.uu.se/,[1]
http://www.books.google.com/,[75]
http://www.euroscholars.eu/,[101]
http://www.viaf.org/,[35]
http://www.wolffund.org.il/,[121]
http://www.blogs.sweden.se/,[94]
http://www.jur.uu.se/,[13]
http://www.uu.se/,[1]
http://www.regeringen.se/,[106]
http://www.thelocal.se/,[17]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.tsl.uu.se/,[14]
http://www.svt.se/,[67]
http://www.ki.se/,[56]
http://www.acton.org/,[109]
http://www.upsalafaktning.se/,[20]
http://www.webometrics.info/,[11]
http://www.creativecommons.org/,[51]
http://www.genus.se/,[134]
http://www.euroscholars.eu/,[101]
http://www.e.kth.se/,[79]
http://www.circare.org/,[64]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.scmp.com/,[60]
http://www.ki.se/,[56]
http://www.aleph.nkp.cz/,[43]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.nytimes.com/,[61]
http://www.data.nlg.gr/,[45]
http://www.api.semanticscholar.org/,[68]
http://www.kth.se/,[73]
http://www.ghostarchive.org/,[28]
http://www.jur.uu.se/,[13]
http://www.web.archive.org/,[8]
http://www.catalogo.bne.es/,[72]
http://www.trove.nla.gov.au/,[50]
http://www.geo.uu.se/,[5]
http://www.nla.gov.au/,[44]
http://www.scmp.com/,[60]
http://www.thestandard.com.hk/,[59]
http://www.api.semanticscholar.org/,[68]
http://www.manniskohjalp.se/,[112]
http://www.blogs.sweden.se/,[94]
http://www.svt.se/,[67]
http://www.archive.today/,[105]
http://www.unt.se/,[16]
