Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.scmp.com/,Main
http://www.arkitekturupproret.se/,[99]
http://www.lundagard.se/,[91]
http://www.uli.nli.org.il/,[41]
http://www.ftp.cordis.europa.eu/,[102]
http://www.gu.se/,[132]
http://www.leidenranking.com/,[22]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.trove.nla.gov.au/,[50]
http://www.geohack.toolforge.org/,[2]
http://www.bbc.co.uk/,[71]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.tekniskamuseet.se/,[74]
http://www.retractionwatch.com/,[62]
http://www.uu.se/,[1]
http://www.youtube.com/,[27]
http://www.authority.bibsys.no/,[37]
http://www.commons.wikimedia.org/,[29]
http://www.lu.se/,[87]
http://www.ec.europa.eu/,[103]
http://www.uu.se/,[1]
http://www.wikidata.org/,[33]
http://www.id.loc.gov/,[42]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.ergo.nu/,[19]
http://www.journals.elsevier.com/,[86]
http://www.authority.bibsys.no/,[37]
http://www.api.semanticscholar.org/,[68]
http://www.mises.org/,[110]
http://www.ki.se/,[56]
http://www.creativecommons.org/,[51]
http://www.matarikinetwork.org/,[26]
http://www.scmp.com/,[60]
http://www.wikimediafoundation.org/,[53]
http://www.shanghairanking.com/,[10]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.data.nlg.gr/,[45]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.rudbeck.uu.se/,[4]
http://www.nla.gov.au/,[44]
http://www.journals.elsevier.com/,[86]
http://www.uu.se/,[1]
http://www.ec.europa.eu/,[103]
http://www.ergo.nu/,[19]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.runeberg.org/,[125]
http://www.fsas.uu.se/,[12]
http://www.musicbrainz.org/,[82]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.afuu.org/,[32]
http://www.web.archive.org/,[8]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.retractionwatch.com/,[62]
