Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.sfv.se/,Main
http://www.cwur.org/,[21]
http://www.sydsvenskan.se/,[128]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.diva-portal.org/,[76]
http://www.geo.uu.se/,[5]
http://www.ch.lu.se/,[96]
http://www.ki.se/,[56]
http://www.data.nlg.gr/,[45]
http://www.topuniversities.com/,[23]
http://www.internt.slu.se/,[85]
http://www.glamourmagazine.co.uk/,[129]
http://www.uu.se/,[1]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.authority.bibsys.no/,[37]
http://www.afbostader.se/,[107]
http://www.ki.se/,[56]
http://www.director.co.uk/,[127]
http://www.topuniversities.com/,[23]
http://www.linnaeus.c18.net/,[114]
http://www.ehl.lu.se/,[100]
http://www.student.uu.se/,[30]
http://www.gu.se/,[132]
http://www.matarikinetwork.org/,[26]
http://www.scmp.com/,[60]
http://www.student.uu.se/,[30]
http://www.ki.se/,[56]
http://www.diva-portal.org/,[76]
http://www.kth.se/,[73]
http://www.internt.slu.se/,[85]
