Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.slu.se/,Main
http://www.edumaritime.net/,[89]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.wolffund.org.il/,[121]
http://www.edumaritime.net/,[89]
http://www.scmp.com/,[60]
http://www.youtube.com/,[27]
http://www.arkitekturupproret.se/,[99]
http://www.creativecommons.org/,[51]
http://www.matarikinetwork.org/,[26]
http://www.getty.edu/,[48]
http://www.universityworldnews.com/,[58]
http://www.fsas.uu.se/,[12]
http://www.catalogue.bnf.fr/,[38]
http://www.lu.se/,[87]
http://www.commons.wikimedia.org/,[29]
http://www.aop.se/,[77]
http://www.developer.wikimedia.org/,[54]
http://www.ergo.nu/,[19]
http://www.ki.se/,[56]
http://www.archive.today/,[105]
http://www.glamourmagazine.co.uk/,[129]
http://www.gu.se/,[132]
http://www.ki.se/,[56]
http://www.manniskohjalp.se/,[112]
http://www.en.wiktionary.org/,[3]
http://www.angstrom.uu.se/,[6]
http://www.ki.se/,[56]
http://www.isni.org/,[34]
http://www.shanghairanking.com/,[10]
http://www.uu.se/,[1]
http://www.doi.org/,[63]
http://www.unt.se/,[16]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.bbc.com/,[69]
http://www.books.google.com/,[75]
http://www.unt.se/,[16]
http://www.catalogo.bne.es/,[72]
http://www.libris.kb.se/,[46]
http://www.thelocal.se/,[17]
http://www.blogs.sweden.se/,[94]
http://www.creativecommons.org/,[51]
http://www.cwur.org/,[21]
http://www.jur.uu.se/,[13]
http://www.usnews.com/,[25]
http://www.tekniskamuseet.se/,[74]
http://www.circare.org/,[64]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.thelocal.se/,[17]
http://www.glamourmagazine.co.uk/,[129]
http://www.matarikinetwork.org/,[26]
http://www.uu.se/,[1]
http://www.nytimes.com/,[61]
http://www.eshet.net/,[108]
http://www.isa.org/,[123]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.ftp.cordis.europa.eu/,[102]
http://www.campusgotland.uu.se/,[7]
http://www.luis.lu.se/,[104]
