Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.student.uu.se/,Main
http://www.sydsvenskan.se/,[128]
http://www.kth.se/,[73]
http://www.doi.org/,[63]
http://www.api.semanticscholar.org/,[68]
http://www.manniskohjalp.se/,[112]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.fsas.uu.se/,[12]
http://www.student.uu.se/,[30]
http://www.shanghairanking.com/,[10]
http://www.aleph.nkp.cz/,[43]
http://www.universityworldnews.com/,[58]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.nla.gov.au/,[44]
http://www.diva-portal.org/,[76]
http://www.kopkatalogs.lv/,[80]
http://www.wikimediafoundation.org/,[53]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.youtube.com/,[27]
http://www.med.lu.se/,[95]
http://www.gu.se/,[132]
http://www.uu.se/,[1]
http://www.tsl.uu.se/,[14]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.lub.lu.se/,[98]
http://www.scmp.com/,[60]
http://www.uu.se/,[1]
http://www.books.google.com/,[75]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.mbl.is/,[113]
http://www.e.kth.se/,[79]
http://www.isni.org/,[34]
http://www.kth.se/,[73]
http://www.fsas.uu.se/,[12]
http://www.paked.net/,[31]
http://www.cantic.bnc.cat/,[130]
http://www.sydsvenskan.se/,[128]
http://www.ki.se/,[56]
http://www.worldcat.org/,[36]
http://www.viaf.org/,[35]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.edumaritime.net/,[89]
http://www.worldcat.org/,[36]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
