Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.sverigesradio.se/,Main
http://www.fsas.uu.se/,[12]
http://www.catalogo.bne.es/,[72]
http://www.runeberg.org/,[125]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.euroscholars.eu/,[101]
http://www.luis.lu.se/,[104]
http://www.roundranking.com/,[57]
http://www.nla.gov.au/,[44]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.ki.se/,[56]
http://www.d-nb.info/,[40]
http://www.aop.se/,[77]
http://www.unt.se/,[16]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.ep.liu.se/,[111]
http://www.leidenranking.com/,[22]
http://www.euroscholars.eu/,[101]
http://www.thelocal.se/,[17]
http://www.geo.uu.se/,[5]
http://www.sfv.se/,[78]
http://www.opac.vatlib.it/,[47]
http://www.regeringen.se/,[106]
http://www.journals.elsevier.com/,[86]
http://www.ci.nii.ac.jp/,[81]
http://www.geo.uu.se/,[5]
http://www.britannica.com/,[115]
http://www.edumaritime.net/,[89]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.ki.se/,[56]
http://www.worldcat.org/,[36]
http://www.data.bnf.fr/,[39]
http://www.geohack.toolforge.org/,[2]
http://www.topuniversities.com/,[23]
http://www.afuu.org/,[32]
http://www.ch.lu.se/,[96]
http://www.commons.wikimedia.org/,[29]
http://www.internt.slu.se/,[85]
http://www.geohack.toolforge.org/,[2]
http://www.glamourmagazine.co.uk/,[129]
http://www.slu.se/,[84]
http://www.angstrom.uu.se/,[6]
http://www.libris.kb.se/,[46]
http://www.topuniversities.com/,[23]
http://www.the-guild.eu/,[9]
http://www.ch.lu.se/,[96]
http://www.mediawiki.org/,[55]
http://www.scmp.com/,[60]
http://www.viaf.org/,[35]
http://www.shanghairanking.com/,[10]
http://www.afbostader.se/,[107]
http://www.ki.se/,[56]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.trove.nla.gov.au/,[50]
http://www.isni.org/,[34]
http://www.uu.se/,[1]
http://www.uli.nli.org.il/,[41]
http://www.opac.vatlib.it/,[47]
http://www.geohack.toolforge.org/,[2]
http://www.worldcat.org/,[36]
http://www.idref.fr/,[49]
http://www.developer.wikimedia.org/,[54]
http://www.bbc.com/,[69]
http://www.lundagard.se/,[91]
http://www.ergo.nu/,[19]
http://www.uli.nli.org.il/,[41]
http://www.ki.se/,[56]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.geohack.toolforge.org/,[2]
http://www.scmp.com/,[60]
http://www.wikimediafoundation.org/,[53]
http://www.authority.bibsys.no/,[37]
http://www.creativecommons.org/,[51]
http://www.mediawiki.org/,[55]
http://www.kth.se/,[73]
http://www.rudbeck.uu.se/,[4]
http://www.usnews.com/,[25]
http://www.leidenranking.com/,[22]
http://www.mbl.is/,[113]
http://www.kth.se/,[73]
http://www.blogs.sweden.se/,[94]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.biomus.lu.se/,[97]
http://www.edumaritime.net/,[89]
http://www.universityworldnews.com/,[58]
http://www.sydsvenskan.se/,[128]
http://www.archive.org/,[118]
http://www.eshet.net/,[108]
http://www.foundation.wikimedia.org/,[52]
http://www.nla.gov.au/,[44]
http://www.usnews.com/,[25]
http://www.ef.co.nz/,[126]
http://www.lundtan.lundaekonomerna.se/,[92]
