Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.svt.se/,Main
http://www.tsl.uu.se/,[14]
http://www.data.rero.ch/,[83]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.bbc.com/,[69]
http://www.shanghairanking.com/,[10]
http://www.student.uu.se/,[30]
http://www.arkitekturupproret.se/,[99]
http://www.runeberg.org/,[125]
http://www.ci.nii.ac.jp/,[81]
http://www.ehl.lu.se/,[100]
http://www.wikimediafoundation.org/,[53]
http://www.kth.se/,[73]
http://www.the-guild.eu/,[9]
http://www.kth.se/,[73]
http://www.cwur.org/,[21]
http://www.diva-portal.org/,[76]
http://www.doi.org/,[63]
http://www.ki.se/,[56]
http://www.linnaeus.c18.net/,[114]
http://www.roundranking.com/,[57]
http://www.ci.nii.ac.jp/,[81]
http://www.data.nlg.gr/,[45]
http://www.worldcat.org/,[36]
http://www.genus.se/,[134]
http://www.student.uu.se/,[30]
http://www.circ.ahajournals.org/,[119]
http://www.kth.se/,[73]
http://www.musicbrainz.org/,[82]
http://www.director.co.uk/,[127]
http://www.geohack.toolforge.org/,[2]
http://www.wikidata.org/,[33]
http://www.slu.se/,[84]
http://www.ki.se/,[56]
http://www.campusgotland.uu.se/,[7]
http://www.foundation.wikimedia.org/,[52]
http://www.d-nb.info/,[40]
http://www.sydsvenskan.se/,[128]
http://www.unt.se/,[16]
http://www.jur.uu.se/,[13]
http://www.web.archive.org/,[8]
http://www.catalogo.bne.es/,[72]
http://www.geo.uu.se/,[5]
http://www.opac.vatlib.it/,[47]
http://www.ghostarchive.org/,[28]
http://www.gu.se/,[132]
http://www.lunduniversity.lu.se/,[88]
http://www.axelsons.com/,[116]
http://www.regeringen.se/,[106]
http://www.catalogo.bne.es/,[72]
http://www.ki.se/,[56]
http://www.authority.bibsys.no/,[37]
http://www.thelocal.se/,[17]
http://www.ftp.cordis.europa.eu/,[102]
http://www.lundagard.se/,[91]
http://www.id.loc.gov/,[42]
http://www.viaf.org/,[35]
http://www.api.semanticscholar.org/,[68]
http://www.student.uu.se/,[30]
http://www.euroscholars.eu/,[101]
http://www.mises.org/,[110]
http://www.fsas.uu.se/,[12]
http://www.dagensmedicin.se/,[70]
http://www.geo.uu.se/,[5]
http://www.rudbeck.uu.se/,[4]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.ec.europa.eu/,[103]
http://www.wikimediafoundation.org/,[53]
http://www.eshet.net/,[108]
http://www.thelocal.se/,[17]
http://www.kth.se/,[73]
http://www.lub.lu.se/,[98]
http://www.scmp.com/,[60]
http://www.manniskohjalp.se/,[112]
http://www.sverigesradio.se/,[18]
http://www.archive.today/,[105]
http://www.dagensmedicin.se/,[70]
http://www.edumaritime.net/,[89]
http://www.blogs.sweden.se/,[94]
http://www.foundation.wikimedia.org/,[52]
http://www.roundranking.com/,[57]
http://www.campusgotland.uu.se/,[7]
http://www.d-nb.info/,[40]
http://www.libris.kb.se/,[46]
http://www.uu.se/,[1]
http://www.nytimes.com/,[61]
http://www.rudbeck.uu.se/,[4]
http://www.timeshighereducation.com/,[24]
http://www.ki.se/,[56]
http://www.trove.nla.gov.au/,[50]
http://www.bbc.com/,[69]
http://www.diva-portal.org/,[76]
http://www.kth.se/,[73]
http://www.glamourmagazine.co.uk/,[129]
http://www.creativecommons.org/,[51]
http://www.webometrics.info/,[11]
http://www.foundation.wikimedia.org/,[52]
http://www.kth.se/,[73]
