Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.sydsvenskan.se/,Main
http://www.ergo.nu/,[19]
http://www.paked.net/,[31]
http://www.ki.se/,[56]
http://www.edumaritime.net/,[89]
http://www.wolffund.org.il/,[121]
http://www.timeshighereducation.com/,[24]
http://www.universityworldnews.com/,[58]
http://www.libris.kb.se/,[46]
http://www.idref.fr/,[49]
http://www.scmp.com/,[60]
http://www.matarikinetwork.org/,[26]
http://www.ghostarchive.org/,[28]
http://www.asbmb.org.au/,[120]
http://www.en.wiktionary.org/,[3]
http://www.runeberg.org/,[125]
http://www.authority.bibsys.no/,[37]
http://www.worldcat.org/,[36]
http://www.roundranking.com/,[57]
http://www.musicbrainz.org/,[82]
http://www.acton.org/,[109]
http://www.natgeotraveller.in/,[133]
http://www.fsas.uu.se/,[12]
http://www.tekniskamuseet.se/,[74]
http://www.ki.se/,[56]
http://www.kopkatalogs.lv/,[80]
http://www.worldcat.org/,[36]
http://www.d-nb.info/,[40]
http://www.lunduniversity.lu.se/,[88]
http://www.lunduniversity.lu.se/,[88]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.api.semanticscholar.org/,[68]
http://www.manniskohjalp.se/,[112]
http://www.commons.wikimedia.org/,[29]
http://www.developer.wikimedia.org/,[54]
http://www.euroscholars.eu/,[101]
http://www.isni.org/,[34]
http://www.lundagard.se/,[91]
http://www.upsalafaktning.se/,[20]
http://www.kth.se/,[73]
http://www.diva-portal.org/,[76]
http://www.jur.uu.se/,[13]
http://www.en.wiktionary.org/,[3]
http://www.uu.se/,[1]
http://www.ci.nii.ac.jp/,[81]
http://www.creativecommons.org/,[51]
http://www.uu.se/,[1]
http://www.diva-portal.org/,[76]
http://www.rudbeck.uu.se/,[4]
http://www.roundranking.com/,[57]
http://www.books.google.com/,[75]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.matarikinetwork.org/,[26]
http://www.data.rero.ch/,[83]
http://www.ki.se/,[56]
http://www.timeshighereducation.com/,[24]
http://www.regeringen.se/,[106]
http://www.campusgotland.uu.se/,[7]
http://www.the-guild.eu/,[9]
http://www.leidenranking.com/,[22]
http://www.matarikinetwork.org/,[26]
http://www.libris.kb.se/,[46]
http://www.kopkatalogs.lv/,[80]
http://www.uli.nli.org.il/,[41]
http://www.viaf.org/,[35]
http://www.circare.org/,[64]
http://www.aleph.nkp.cz/,[43]
http://www.retractionwatch.com/,[62]
http://www.worldcat.org/,[36]
http://www.lunduniversity.lu.se/,[88]
http://www.universityworldnews.com/,[58]
http://www.isa.org/,[123]
http://www.catalogue.bnf.fr/,[38]
http://www.developer.wikimedia.org/,[54]
http://www.data.nlg.gr/,[45]
http://www.authority.bibsys.no/,[37]
http://www.matarikinetwork.org/,[26]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.isni.org/,[34]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.manniskohjalp.se/,[112]
http://www.genus.se/,[134]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.ef.co.nz/,[126]
http://www.isni.org/,[34]
http://www.upsalafaktning.se/,[20]
http://www.ki.se/,[56]
http://www.natgeotraveller.in/,[133]
http://www.uu.se/,[1]
