Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.tekniskamuseet.se/,Main
http://www.bbc.co.uk/,[71]
http://www.student.uu.se/,[30]
http://www.opac.vatlib.it/,[47]
http://www.youtube.com/,[27]
http://www.scmp.com/,[60]
http://www.youtube.com/,[27]
http://www.scmp.com/,[60]
http://www.aleph.nkp.cz/,[43]
http://www.the-guild.eu/,[9]
http://www.catalogo.bne.es/,[72]
http://www.api.semanticscholar.org/,[68]
http://www.webometrics.info/,[11]
http://www.developer.wikimedia.org/,[54]
http://www.axelsons.com/,[116]
http://www.cwur.org/,[21]
http://www.gu.se/,[132]
http://www.the-guild.eu/,[9]
http://www.data.bnf.fr/,[39]
http://www.axelsons.com/,[116]
http://www.ki.se/,[56]
http://www.geohack.toolforge.org/,[2]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.catalogo.bne.es/,[72]
http://www.afbostader.se/,[107]
http://www.kth.se/,[73]
