Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.thelocal.se/,Main
http://www.thestandard.com.hk/,[59]
http://www.wikidata.org/,[33]
http://www.sydsvenskan.se/,[128]
http://www.authority.bibsys.no/,[37]
http://www.getty.edu/,[48]
http://www.uu.se/,[1]
http://www.isni.org/,[34]
http://www.tsl.uu.se/,[14]
http://www.thelocal.se/,[17]
http://www.retractionwatch.com/,[62]
http://www.aleph.nkp.cz/,[43]
http://www.svt.se/,[67]
http://www.ergo.nu/,[19]
http://www.luis.lu.se/,[104]
http://www.e.kth.se/,[79]
http://www.ci.nii.ac.jp/,[81]
