Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.thestandard.com.hk/,Main
http://www.med.lu.se/,[95]
http://www.tekniskamuseet.se/,[74]
http://www.angstrom.uu.se/,[6]
http://www.catalogue.bnf.fr/,[38]
http://www.uli.nli.org.il/,[41]
http://www.aleph.nkp.cz/,[43]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.tsl.uu.se/,[14]
http://www.opac.vatlib.it/,[47]
http://www.timeshighereducation.com/,[24]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.aleph.nkp.cz/,[43]
http://www.isni.org/,[34]
http://www.proton-therapy.org/,[15]
http://www.student.uu.se/,[30]
http://www.circ.ahajournals.org/,[119]
http://www.ki.se/,[56]
http://www.topuniversities.com/,[23]
