Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.timeshighereducation.com/,Main
http://www.ch.lu.se/,[96]
http://www.opac.vatlib.it/,[47]
http://www.kth.se/,[73]
http://www.asbmb.org.au/,[120]
http://www.getty.edu/,[48]
http://www.archive.org/,[118]
http://www.rudbeck.uu.se/,[4]
http://www.thelocal.se/,[17]
http://www.ki.se/,[56]
http://www.e.kth.se/,[79]
http://www.dagensmedicin.se/,[70]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.ep.liu.se/,[111]
http://www.sverigesradio.se/,[18]
http://www.shanghairanking.com/,[10]
http://www.web.archive.org/,[8]
http://www.journals.elsevier.com/,[86]
http://www.rudbeck.uu.se/,[4]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.uli.nli.org.il/,[41]
http://www.upsalafaktning.se/,[20]
http://www.ki.se/,[56]
http://www.leidenranking.com/,[22]
http://www.leidenranking.com/,[22]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.lu.se/,[87]
http://www.aleph.nkp.cz/,[43]
http://www.upsalafaktning.se/,[20]
http://www.afuu.org/,[32]
http://www.angstrom.uu.se/,[6]
http://www.student.uu.se/,[30]
http://www.kth.se/,[73]
http://www.api.semanticscholar.org/,[68]
http://www.afbostader.se/,[107]
http://www.circare.org/,[64]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.glamourmagazine.co.uk/,[129]
http://www.data.nlg.gr/,[45]
http://www.catalogue.bnf.fr/,[38]
http://www.afuu.org/,[32]
http://www.cwur.org/,[21]
http://www.rudbeck.uu.se/,[4]
http://www.aleph.nkp.cz/,[43]
http://www.geohack.toolforge.org/,[2]
http://www.catalogue.bnf.fr/,[38]
http://www.unt.se/,[16]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.cwur.org/,[21]
http://www.lub.lu.se/,[98]
http://www.campusgotland.uu.se/,[7]
http://www.kth.se/,[73]
http://www.roundranking.com/,[57]
http://www.director.co.uk/,[127]
http://www.d-nb.info/,[40]
http://www.foundation.wikimedia.org/,[52]
