Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.trove.nla.gov.au/,Main
http://www.paked.net/,[31]
http://www.blogs.sweden.se/,[94]
http://www.ki.se/,[56]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.britannica.com/,[115]
http://www.api.semanticscholar.org/,[68]
http://www.uu.se/,[1]
http://www.manniskohjalp.se/,[112]
http://www.idref.fr/,[49]
http://www.api.semanticscholar.org/,[68]
http://www.kth.se/,[73]
http://www.dagensmedicin.se/,[70]
http://www.ch.lu.se/,[96]
http://www.api.semanticscholar.org/,[68]
http://www.the-guild.eu/,[9]
http://www.roundranking.com/,[57]
http://www.arkitekturupproret.se/,[99]
http://www.unt.se/,[16]
http://www.topuniversities.com/,[23]
http://www.ehl.lu.se/,[100]
http://www.britannica.com/,[115]
http://www.the-guild.eu/,[9]
http://www.uu.se/,[1]
http://www.catalogo.bne.es/,[72]
http://www.wikimediafoundation.org/,[53]
http://www.kth.se/,[73]
http://www.uu.se/,[1]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.unt.se/,[16]
http://www.ki.se/,[56]
http://www.opac.vatlib.it/,[47]
http://www.libris.kb.se/,[46]
http://www.ki.se/,[56]
http://www.glamourmagazine.co.uk/,[129]
http://www.internt.slu.se/,[85]
http://www.ki.se/,[56]
http://www.upsalafaktning.se/,[20]
http://www.usnews.com/,[25]
http://www.kth.se/,[73]
http://www.sverigesradio.se/,[18]
http://www.sverigesradio.se/,[18]
http://www.kth.se/,[73]
http://www.unt.se/,[16]
http://www.developer.wikimedia.org/,[54]
http://www.ergo.nu/,[19]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.proton-therapy.org/,[15]
http://www.geo.uu.se/,[5]
http://www.nla.gov.au/,[44]
http://www.isa.org/,[123]
http://www.shanghairanking.com/,[10]
http://www.mises.org/,[110]
http://www.jur.uu.se/,[13]
http://www.catalogo.bne.es/,[72]
http://www.data.rero.ch/,[83]
http://www.uu.se/,[1]
http://www.uli.nli.org.il/,[41]
http://www.catalogo.bne.es/,[72]
http://www.leidenranking.com/,[22]
