Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.tsl.uu.se/,Main
http://www.doi.org/,[63]
http://www.trove.nla.gov.au/,[50]
http://www.afuu.org/,[32]
http://www.thestandard.com.hk/,[59]
http://www.api.semanticscholar.org/,[68]
http://www.ghostarchive.org/,[28]
http://www.commons.wikimedia.org/,[29]
http://www.upsalafaktning.se/,[20]
http://www.europeanspallationsource.se/,[90]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.trove.nla.gov.au/,[50]
http://www.jstor.org/,[124]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
http://www.uli.nli.org.il/,[41]
http://www.upsalafaktning.se/,[20]
http://www.uu.se/,[1]
http://www.kopkatalogs.lv/,[80]
http://www.data.bnf.fr/,[39]
http://www.ki.se/,[56]
http://www.ghostarchive.org/,[28]
http://www.authority.bibsys.no/,[37]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.leidenranking.com/,[22]
http://www.ki.se/,[56]
http://www.natgeotraveller.in/,[133]
