Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.ui.adsabs.harvard.edu/,Main
http://www.wikimediafoundation.org/,[53]
http://www.shanghairanking.com/,[10]
http://www.luis.lu.se/,[104]
http://www.angstrom.uu.se/,[6]
http://www.en.wiktionary.org/,[3]
http://www.journals.elsevier.com/,[86]
http://www.uu.se/,[1]
http://www.ergo.nu/,[19]
http://www.commons.wikimedia.org/,[29]
http://www.kth.se/,[73]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.viaf.org/,[35]
http://www.collections.tepapa.govt.nz/,[131]
http://www.e.kth.se/,[79]
http://www.ki.se/,[56]
http://www.libris.kb.se/,[46]
http://www.uu.se/,[1]
http://www.worldcat.org/,[36]
http://www.data.rero.ch/,[83]
http://www.natgeotraveller.in/,[133]
http://www.the-guild.eu/,[9]
http://www.nla.gov.au/,[44]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.sverigesradio.se/,[18]
http://www.edumaritime.net/,[89]
http://www.youtube.com/,[27]
http://www.proton-therapy.org/,[15]
