Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.uli.nli.org.il/,Main
http://www.ki.se/,[56]
http://www.creativecommons.org/,[51]
http://www.aop.se/,[77]
http://www.leidenranking.com/,[22]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.the-guild.eu/,[9]
http://www.tsl.uu.se/,[14]
http://www.geohack.toolforge.org/,[2]
http://www.kth.se/,[73]
http://www.foundation.wikimedia.org/,[52]
http://www.books.google.com/,[75]
http://www.nla.gov.au/,[44]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.matarikinetwork.org/,[26]
http://www.nytimes.com/,[61]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.circ.ahajournals.org/,[119]
http://www.thestandard.com.hk/,[59]
http://www.kth.se/,[73]
http://www.archive.today/,[105]
http://www.bbc.co.uk/,[71]
http://www.luis.lu.se/,[104]
http://www.catalogue.bnf.fr/,[38]
