Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.universityworldnews.com/,Main
http://www.internt.slu.se/,[85]
http://www.wikimediafoundation.org/,[53]
http://www.wolffund.org.il/,[121]
http://www.linnaeus.c18.net/,[114]
http://www.jur.uu.se/,[13]
http://www.shanghairanking.com/,[10]
http://www.web.archive.org/,[8]
http://www.data.bnf.fr/,[39]
http://www.uu.se/,[1]
http://www.aleph.nkp.cz/,[43]
http://www.thestandard.com.hk/,[59]
http://www.authority.bibsys.no/,[37]
http://www.glamourmagazine.co.uk/,[129]
http://www.diva-portal.org/,[76]
http://www.jur.uu.se/,[13]
http://www.geo.uu.se/,[5]
http://www.manniskohjalp.se/,[112]
http://www.med.lu.se/,[95]
http://www.afuu.org/,[32]
http://www.ki.se/,[56]
http://www.thelocal.se/,[17]
http://www.angstrom.uu.se/,[6]
http://www.en.wiktionary.org/,[3]
http://www.authority.bibsys.no/,[37]
http://www.wikidata.org/,[33]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.bbc.com/,[69]
http://www.dagensmedicin.se/,[70]
http://www.lu.se/,[87]
http://www.biomus.lu.se/,[97]
http://www.catalogue.bnf.fr/,[38]
http://www.asbmb.org.au/,[120]
http://www.upsalafaktning.se/,[20]
http://www.britannica.com/,[115]
http://www.kth.se/,[73]
http://www.sydsvenskan.se/,[128]
http://www.blogs.sweden.se/,[94]
http://www.uu.se/,[1]
http://www.dagensmedicin.se/,[70]
http://www.data.nlg.gr/,[45]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.blogs.sweden.se/,[94]
http://www.catalogue.bnf.fr/,[38]
http://www.luis.lu.se/,[104]
http://www.isa.org/,[123]
http://www.genus.se/,[134]
http://www.uu.se/,[1]
http://www.data.nlg.gr/,[45]
http://www.web.archive.org/,[8]
http://www.campusgotland.uu.se/,[7]
http://www.jur.uu.se/,[13]
http://www.viaf.org/,[35]
http://www.geo.uu.se/,[5]
http://www.tsl.uu.se/,[14]
http://www.ergo.nu/,[19]
http://www.ep.liu.se/,[111]
http://www.viaf.org/,[35]
http://www.the-guild.eu/,[9]
http://www.data.nlg.gr/,[45]
http://www.aleph.nkp.cz/,[43]
http://www.bbc.com/,[69]
http://www.the-guild.eu/,[9]
http://www.id.loc.gov/,[42]
http://www.circare.org/,[64]
http://www.retractionwatch.com/,[62]
http://www.afbostader.se/,[107]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.archive.org/,[118]
http://www.catalogue.bnf.fr/,[38]
http://www.retractionwatch.com/,[62]
http://www.worldcat.org/,[36]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.timeshighereducation.com/,[24]
http://www.europeanspallationsource.se/,[90]
http://www.uu.se/,[1]
http://www.shanghairanking.com/,[10]
http://www.ergo.nu/,[19]
http://www.ec.europa.eu/,[103]
http://www.data.rero.ch/,[83]
http://www.paked.net/,[31]
http://www.med.lu.se/,[95]
http://www.foundation.wikimedia.org/,[52]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.isni.org/,[34]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
