Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.unt.se/,Main
http://www.usnews.com/,[25]
http://www.scmp.com/,[60]
http://www.manniskohjalp.se/,[112]
http://www.lu.se/,[87]
http://www.kth.se/,[73]
http://www.usnews.com/,[25]
http://www.books.google.com/,[75]
http://www.usnews.com/,[25]
http://www.developer.wikimedia.org/,[54]
http://www.shanghairanking.com/,[10]
http://www.ch.lu.se/,[96]
http://www.wikidata.org/,[33]
http://www.en.wiktionary.org/,[3]
http://www.journals.elsevier.com/,[86]
http://www.matarikinetwork.org/,[26]
http://www.opac.vatlib.it/,[47]
http://www.universityworldnews.com/,[58]
http://www.acton.org/,[109]
http://www.mbl.is/,[113]
http://www.isni.org/,[34]
http://www.geo.uu.se/,[5]
http://www.ki.se/,[56]
http://www.proton-therapy.org/,[15]
http://www.libris.kb.se/,[46]
http://www.aleph.nkp.cz/,[43]
http://www.scmp.com/,[60]
http://www.authority.bibsys.no/,[37]
http://www.tekniskamuseet.se/,[74]
http://www.afbostader.se/,[107]
http://www.ef.co.nz/,[126]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.proton-therapy.org/,[15]
http://www.leidenranking.com/,[22]
http://www.paked.net/,[31]
http://www.kth.se/,[73]
http://www.webometrics.info/,[11]
http://www.getty.edu/,[48]
http://www.lub.lu.se/,[98]
http://www.foundation.wikimedia.org/,[52]
http://www.opac.vatlib.it/,[47]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.upsalafaktning.se/,[20]
http://www.circare.org/,[64]
http://www.mises.org/,[110]
http://www.manniskohjalp.se/,[112]
http://www.rudbeck.uu.se/,[4]
http://www.thestandard.com.hk/,[59]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.jur.uu.se/,[13]
http://www.worldcat.org/,[36]
http://www.internt.slu.se/,[85]
http://www.geo.uu.se/,[5]
http://www.tsl.uu.se/,[14]
http://www.kopkatalogs.lv/,[80]
http://www.campusgotland.uu.se/,[7]
http://www.libris.kb.se/,[46]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.diva-portal.org/,[76]
http://www.collections.tepapa.govt.nz/,[131]
