Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.upsalafaktning.se/,Main
http://www.kth.se/,[73]
http://www.aop.se/,[77]
http://www.linnaeus.c18.net/,[114]
http://www.nla.gov.au/,[44]
http://www.afuu.org/,[32]
http://www.dagensmedicin.se/,[70]
http://www.diva-portal.org/,[76]
http://www.uu.se/,[1]
http://www.student.uu.se/,[30]
http://www.api.semanticscholar.org/,[68]
http://www.geo.uu.se/,[5]
http://www.cwur.org/,[21]
http://www.data.rero.ch/,[83]
http://www.creativecommons.org/,[51]
http://www.retractionwatch.com/,[62]
http://www.paked.net/,[31]
http://www.biomus.lu.se/,[97]
http://www.circ.ahajournals.org/,[119]
http://www.worldcat.org/,[36]
http://www.webometrics.info/,[11]
http://www.web.archive.org/,[8]
http://www.acton.org/,[109]
http://www.opac.vatlib.it/,[47]
http://www.aop.se/,[77]
http://www.ki.se/,[56]
http://www.roundranking.com/,[57]
http://www.ki.se/,[56]
http://www.glamourmagazine.co.uk/,[129]
http://www.ch.lu.se/,[96]
http://www.ep.liu.se/,[111]
http://www.wolffund.org.il/,[121]
http://www.sfv.se/,[78]
http://www.geo.uu.se/,[5]
http://www.uu.se/,[1]
http://www.d-nb.info/,[40]
http://www.ergo.nu/,[19]
http://www.scmp.com/,[60]
http://www.uu.se/,[1]
http://www.ftp.cordis.europa.eu/,[102]
http://www.kth.se/,[73]
http://www.blogs.sweden.se/,[94]
http://www.viaf.org/,[35]
http://www.uu.se/,[1]
http://www.catalogue.bnf.fr/,[38]
http://www.isni.org/,[34]
http://www.geo.uu.se/,[5]
http://www.geohack.toolforge.org/,[2]
http://www.lub.lu.se/,[98]
http://www.mediawiki.org/,[55]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.kth.se/,[73]
http://www.catalogue.bnf.fr/,[38]
http://www.slu.se/,[84]
http://www.uu.se/,[1]
http://www.angstrom.uu.se/,[6]
http://www.cwur.org/,[21]
http://www.uu.se/,[1]
http://www.bbc.com/,[69]
http://www.archive.org/,[118]
http://www.kth.se/,[73]
http://www.viaf.org/,[35]
http://www.slu.se/,[84]
http://www.ki.se/,[56]
http://www.genus.se/,[134]
http://www.glamourmagazine.co.uk/,[129]
http://www.afuu.org/,[32]
http://www.worldcat.org/,[36]
http://www.en.wiktionary.org/,[3]
http://www.viaf.org/,[35]
http://www.roundranking.com/,[57]
http://www.geo.uu.se/,[5]
http://www.timeshighereducation.com/,[24]
http://www.opac.vatlib.it/,[47]
http://www.afuu.org/,[32]
http://www.viaf.org/,[35]
http://www.matarikinetwork.org/,[26]
http://www.edumaritime.net/,[89]
http://www.upsalafaktning.se/,[20]
http://www.ki.se/,[56]
http://www.matarikinetwork.org/,[26]
http://www.doi.org/,[63]
http://www.dagensmedicin.se/,[70]
http://www.bbc.com/,[69]
http://www.matarikinetwork.org/,[26]
http://www.internt.slu.se/,[85]
http://www.libris.kb.se/,[46]
http://www.aleph.nkp.cz/,[43]
http://www.id.loc.gov/,[42]
http://www.mises.org/,[110]
http://www.worldcat.org/,[36]
http://www.acton.org/,[109]
