Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.usnews.com/,Main
http://www.ergo.nu/,[19]
http://www.circ.ahajournals.org/,[119]
http://www.unt.se/,[16]
http://www.kth.se/,[73]
http://www.ehl.lu.se/,[100]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.kth.se/,[73]
http://www.scb.se/,[93]
http://www.universityworldnews.com/,[58]
http://www.viaf.org/,[35]
http://www.data.nlg.gr/,[45]
http://www.geohack.toolforge.org/,[2]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.bbc.com/,[69]
http://www.youtube.com/,[27]
http://www.d-nb.info/,[40]
http://www.tekniskamuseet.se/,[74]
http://www.rudbeck.uu.se/,[4]
http://www.topuniversities.com/,[23]
http://www.lundagard.se/,[91]
http://www.campusgotland.uu.se/,[7]
http://www.matarikinetwork.org/,[26]
http://www.euroscholars.eu/,[101]
http://www.ki.se/,[56]
http://www.data.bnf.fr/,[39]
http://www.wikimediafoundation.org/,[53]
http://www.wikimediafoundation.org/,[53]
http://www.the-guild.eu/,[9]
http://www.natgeotraveller.in/,[133]
http://www.paked.net/,[31]
http://www.archive.today/,[105]
http://www.usnews.com/,[25]
http://www.fsas.uu.se/,[12]
http://www.opac.vatlib.it/,[47]
http://www.dagensmedicin.se/,[70]
http://www.manniskohjalp.se/,[112]
http://www.linnaeus.c18.net/,[114]
http://www.linnaeus.c18.net/,[114]
http://www.ui.adsabs.harvard.edu/,[65]
http://www.d-nb.info/,[40]
http://www.ki.se/,[56]
http://www.web.archive.org/,[8]
http://www.aleph.nkp.cz/,[43]
http://www.catalogo.bne.es/,[72]
http://www.ep.liu.se/,[111]
http://www.uu.se/,[1]
http://www.ftp.cordis.europa.eu/,[102]
http://www.mbl.is/,[113]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.ehl.lu.se/,[100]
http://www.usnews.com/,[25]
http://www.opac.vatlib.it/,[47]
http://www.d-nb.info/,[40]
http://www.universityworldnews.com/,[58]
http://www.asbmb.org.au/,[120]
http://www.angstrom.uu.se/,[6]
http://www.jstor.org/,[124]
http://www.webometrics.info/,[11]
http://www.blogs.sweden.se/,[94]
http://www.wikimediafoundation.org/,[53]
http://www.en.wiktionary.org/,[3]
http://www.kth.se/,[73]
http://www.jstor.org/,[124]
http://www.glamourmagazine.co.uk/,[129]
http://www.topuniversities.com/,[23]
http://www.trove.nla.gov.au/,[50]
http://www.ki.se/,[56]
http://www.bbc.com/,[69]
http://www.bbc.co.uk/,[71]
http://www.kth.se/,[73]
http://www.idref.fr/,[49]
http://www.upsalafaktning.se/,[20]
http://www.sydsvenskan.se/,[128]
http://www.natgeotraveller.in/,[133]
http://www.kth.se/,[73]
http://www.tsl.uu.se/,[14]
http://www.natgeotraveller.in/,[133]
http://www.shanghairanking.com/,[10]
http://www.id.loc.gov/,[42]
http://www.slu.se/,[84]
http://www.opac.vatlib.it/,[47]
http://www.manniskohjalp.se/,[112]
http://www.gu.se/,[132]
http://www.uu.se/,[1]
http://www.trove.nla.gov.au/,[50]
http://www.usnews.com/,[25]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
