Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.viaf.org/,Main
http://www.scmp.com/,[60]
http://www.thestandard.com.hk/,[59]
http://www.lub.lu.se/,[98]
http://www.ergo.nu/,[19]
http://www.data.nlg.gr/,[45]
http://www.afuu.org/,[32]
http://www.circare.org/,[64]
http://www.timeshighereducation.com/,[24]
http://www.ki.se/,[56]
http://www.circare.org/,[64]
http://www.webometrics.info/,[11]
http://www.usnews.com/,[25]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.retractionwatch.com/,[62]
http://www.uu.se/,[1]
http://www.campusgotland.uu.se/,[7]
http://www.acton.org/,[109]
http://www.student.uu.se/,[30]
http://www.timeshighereducation.com/,[24]
http://www.ftp.cordis.europa.eu/,[102]
http://www.unt.se/,[16]
http://www.uu.se/,[1]
http://www.unt.se/,[16]
http://www.ghostarchive.org/,[28]
http://www.idref.fr/,[49]
http://www.uu.se/,[1]
http://www.collections.tepapa.govt.nz/,[131]
http://www.genus.se/,[134]
http://www.blogs.sweden.se/,[94]
http://www.student.uu.se/,[30]
http://www.topuniversities.com/,[23]
http://www.webometrics.info/,[11]
http://www.europeanspallationsource.se/,[90]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.webometrics.info/,[11]
http://www.idref.fr/,[49]
http://www.data.nlg.gr/,[45]
http://www.leidenranking.com/,[22]
http://www.data.rero.ch/,[83]
http://www.retractionwatch.com/,[62]
http://www.fsas.uu.se/,[12]
http://www.genus.se/,[134]
http://www.bbc.co.uk/,[71]
http://www.ec.europa.eu/,[103]
http://www.rudbeck.uu.se/,[4]
http://www.circare.org/,[64]
http://www.roundranking.com/,[57]
http://www.ehl.lu.se/,[100]
http://www.uli.nli.org.il/,[41]
http://www.commons.wikimedia.org/,[29]
http://www.uu.se/,[1]
http://www.shanghairanking.com/,[10]
http://www.e.kth.se/,[79]
http://www.kth.se/,[73]
http://www.worldcat.org/,[36]
http://www.bbc.com/,[69]
http://www.uu.se/,[1]
http://www.jur.uu.se/,[13]
http://www.web.archive.org/,[8]
http://www.topuniversities.com/,[23]
http://www.en.wiktionary.org/,[3]
