Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.web.archive.org/,Main
http://www.uu.se/,[1]
http://www.nla.gov.au/,[44]
http://www.eshet.net/,[108]
http://www.isni.org/,[34]
http://www.upsalafaktning.se/,[20]
http://www.catalogue.bnf.fr/,[38]
http://www.mbl.is/,[113]
http://www.viaf.org/,[35]
http://www.campusgotland.uu.se/,[7]
http://www.rudbeck.uu.se/,[4]
http://www.ftp.cordis.europa.eu/,[102]
http://www.foundation.wikimedia.org/,[52]
http://www.fsas.uu.se/,[12]
http://www.webometrics.info/,[11]
http://www.nla.gov.au/,[44]
http://www.uu.se/,[1]
http://www.timeshighereducation.com/,[24]
http://www.mediawiki.org/,[55]
http://www.mediawiki.org/,[55]
http://www.leidenranking.com/,[22]
http://www.uli.nli.org.il/,[41]
http://www.getty.edu/,[48]
http://www.nla.gov.au/,[44]
http://www.kth.se/,[73]
http://www.tekniskamuseet.se/,[74]
http://www.scmp.com/,[60]
http://www.regeringen.se/,[106]
http://www.libris.kb.se/,[46]
http://www.euroscholars.eu/,[101]
http://www.roundranking.com/,[57]
http://www.creativecommons.org/,[51]
http://www.matarikinetwork.org/,[26]
http://www.idref.fr/,[49]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.angstrom.uu.se/,[6]
http://www.authority.bibsys.no/,[37]
http://www.topuniversities.com/,[23]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.youtube.com/,[27]
http://www.europeanspallationsource.se/,[90]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.pubmed.ncbi.nlm.nih.gov/,[66]
http://www.campusgotland.uu.se/,[7]
http://www.runeberg.org/,[125]
http://www.d-nb.info/,[40]
http://www.nytimes.com/,[61]
http://www.ch.lu.se/,[96]
http://www.regeringen.se/,[106]
http://www.uu.se/,[1]
http://www.lundagard.se/,[91]
http://www.jur.uu.se/,[13]
http://www.ergo.nu/,[19]
http://www.rudbeck.uu.se/,[4]
http://www.luis.lu.se/,[104]
http://www.catalogo.bne.es/,[72]
http://www.isni.org/,[34]
http://www.jur.uu.se/,[13]
http://www.usnews.com/,[25]
http://www.timeshighereducation.com/,[24]
http://www.archive.today/,[105]
http://www.leidenranking.com/,[22]
http://www.usnews.com/,[25]
http://www.matarikinetwork.org/,[26]
http://www.uu.se/,[1]
http://www.api.semanticscholar.org/,[68]
http://www.sydsvenskan.se/,[128]
http://www.kth.se/,[73]
http://www.libris.kb.se/,[46]
http://www.commons.wikimedia.org/,[29]
http://www.ki.se/,[56]
http://www.kth.se/,[73]
http://www.ki.se/,[56]
http://www.ergo.nu/,[19]
http://www.trove.nla.gov.au/,[50]
http://www.wikidata.org/,[33]
http://www.wolffund.org.il/,[121]
http://www.ki.se/,[56]
http://www.isa.org/,[123]
http://www.upsalafaktning.se/,[20]
http://www.campusgotland.uu.se/,[7]
http://www.sfv.se/,[78]
http://www.leidenranking.com/,[22]
http://www.manniskohjalp.se/,[112]
http://www.catalogue.bnf.fr/,[38]
http://www.internt.slu.se/,[85]
http://www.unt.se/,[16]
http://www.api.semanticscholar.org/,[68]
http://www.uu.se/,[1]
http://www.diva-portal.org/,[76]
