Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.webarchive.nationalarchives.gov.uk/,Main
http://www.natgeotraveller.in/,[133]
http://www.cantic.bnc.cat/,[130]
http://www.ep.liu.se/,[111]
http://www.ki.se/,[56]
http://www.books.google.com/,[75]
http://www.thestandard.com.hk/,[59]
http://www.afuu.org/,[32]
http://www.uu.se/,[1]
http://www.director.co.uk/,[127]
http://www.uu.se/,[1]
http://www.uu.se/,[1]
http://www.creativecommons.org/,[51]
http://www.kth.se/,[73]
http://www.the-guild.eu/,[9]
http://www.runeberg.org/,[125]
http://www.kth.se/,[73]
http://www.shanghairanking.com/,[10]
http://www.developer.wikimedia.org/,[54]
http://www.uu.se/,[1]
http://www.slu.se/,[84]
http://www.tsl.uu.se/,[14]
http://www.uli.nli.org.il/,[41]
http://www.edumaritime.net/,[89]
http://www.asbmb.org.au/,[120]
http://www.cwur.org/,[21]
http://www.data.bnf.fr/,[39]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.leidenranking.com/,[22]
http://www.ergo.nu/,[19]
http://www.ci.nii.ac.jp/,[81]
