Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.webometrics.info/,Main
http://www.campusgotland.uu.se/,[7]
http://www.journals.elsevier.com/,[86]
http://www.cwur.org/,[21]
http://www.creativecommons.org/,[51]
http://www.svt.se/,[67]
http://www.developer.wikimedia.org/,[54]
http://www.bbc.com/,[69]
http://www.universityworldnews.com/,[58]
http://www.geo.uu.se/,[5]
http://www.tsl.uu.se/,[14]
http://www.doi.org/,[63]
http://www.uu.se/,[1]
http://www.upsalafaktning.se/,[20]
http://www.uu.se/,[1]
http://www.lu.se/,[87]
http://www.fsas.uu.se/,[12]
http://www.slu.se/,[84]
http://www.regeringen.se/,[106]
http://www.aop.se/,[77]
http://www.edumaritime.net/,[89]
http://www.musicbrainz.org/,[82]
http://www.acton.org/,[109]
