Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.wikidata.org/,Main
http://www.aleph.nkp.cz/,[43]
http://www.linnaeus.c18.net/,[114]
http://www.worldcat.org/,[36]
http://www.uu.se/,[1]
http://www.jur.uu.se/,[13]
http://www.ehl.lu.se/,[100]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.api.semanticscholar.org/,[68]
http://www.matarikinetwork.org/,[26]
http://www.jstor.org/,[124]
http://www.collections.tepapa.govt.nz/,[131]
http://www.upsalafaktning.se/,[20]
http://www.timeshighereducation.com/,[24]
http://www.luis.lu.se/,[104]
http://www.uu.se/,[1]
http://www.getty.edu/,[48]
http://www.retractionwatch.com/,[62]
http://www.thelocal.se/,[17]
http://www.bbc.com/,[69]
http://www.linnaeus.c18.net/,[114]
http://www.books.google.com/,[75]
http://www.manniskohjalp.se/,[112]
http://www.getty.edu/,[48]
http://www.jstor.org/,[124]
http://www.e.kth.se/,[79]
http://www.afbostader.se/,[107]
http://www.asbmb.org.au/,[120]
