Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.wikimediafoundation.org/,Main
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.getty.edu/,[48]
http://www.wolffund.org.il/,[121]
http://www.leidenranking.com/,[22]
http://www.matarikinetwork.org/,[26]
http://www.bbc.com/,[69]
http://www.getty.edu/,[48]
http://www.sverigesradio.se/,[18]
http://www.uu.se/,[1]
http://www.genus.se/,[134]
http://www.bbc.com/,[69]
http://www.bbc.co.uk/,[71]
http://www.unt.se/,[16]
http://www.afuu.org/,[32]
http://www.libris.kb.se/,[46]
http://www.viaf.org/,[35]
http://www.the-guild.eu/,[9]
http://www.mediawiki.org/,[55]
http://www.d-nb.info/,[40]
http://www.kth.se/,[73]
http://www.circare.org/,[64]
http://www.trove.nla.gov.au/,[50]
http://www.data.nlg.gr/,[45]
http://www.wolffund.org.il/,[121]
http://www.regeringen.se/,[106]
http://www.uu.se/,[1]
http://www.bbc.com/,[69]
http://www.ki.se/,[56]
http://www.cwur.org/,[21]
http://www.acton.org/,[109]
http://www.scb.se/,[93]
http://www.uu.se/,[1]
http://www.ki.se/,[56]
http://www.doi.org/,[63]
http://www.ki.se/,[56]
http://www.matarikinetwork.org/,[26]
http://www.upsalafaktning.se/,[20]
http://www.campusgotland.uu.se/,[7]
http://www.viaf.org/,[35]
http://www.jur.uu.se/,[13]
http://www.mises.org/,[110]
http://www.authority.bibsys.no/,[37]
http://www.kth.se/,[73]
http://www.roundranking.com/,[57]
http://www.data.nlg.gr/,[45]
http://www.ergo.nu/,[19]
http://www.eshet.net/,[108]
http://www.scmp.com/,[60]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.sverigesradio.se/,[18]
http://www.ep.liu.se/,[111]
http://www.foundation.wikimedia.org/,[52]
http://www.gu.se/,[132]
http://www.ghostarchive.org/,[28]
http://www.ki.se/,[56]
http://www.en.wiktionary.org/,[3]
http://www.ki.se/,[56]
http://www.proton-therapy.org/,[15]
http://www.matarikinetwork.org/,[26]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.director.co.uk/,[127]
http://www.aleph.nkp.cz/,[43]
http://www.isni.org/,[34]
http://www.euroscholars.eu/,[101]
http://www.tsl.uu.se/,[14]
http://www.uu.se/,[1]
http://www.kth.se/,[73]
http://www.slu.se/,[84]
http://www.svt.se/,[67]
http://www.topuniversities.com/,[23]
http://www.runeberg.org/,[125]
