Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.wolffund.org.il/,Main
http://www.leidenranking.com/,[22]
http://www.wolffund.org.il/,[121]
http://www.circ.ahajournals.org/,[119]
http://www.upsalafaktning.se/,[20]
http://www.britannica.com/,[115]
http://www.britannica.com/,[115]
http://www.bbc.co.uk/,[71]
http://www.retractionwatch.com/,[62]
http://www.ec.europa.eu/,[103]
http://www.uu.se/,[1]
http://www.tsl.uu.se/,[14]
http://www.thelocal.se/,[17]
http://www.idref.fr/,[49]
http://www.creativecommons.org/,[51]
http://www.uu.se/,[1]
http://www.authority.bibsys.no/,[37]
http://www.catalogue.bnf.fr/,[38]
http://www.isa.org/,[123]
http://www.getty.edu/,[48]
http://www.lundagard.se/,[91]
http://www.aleph.nkp.cz/,[43]
http://www.ki.se/,[56]
http://www.jstor.org/,[124]
http://www.data.nlg.gr/,[45]
http://www.usnews.com/,[25]
http://www.data.nlg.gr/,[45]
http://www.cantic.bnc.cat/,[130]
http://www.d-nb.info/,[40]
http://www.geo.uu.se/,[5]
http://www.ci.nii.ac.jp/,[81]
http://www.cwur.org/,[21]
http://www.euroscholars.eu/,[101]
http://www.lub.lu.se/,[98]
http://www.opac.vatlib.it/,[47]
http://www.ep.liu.se/,[111]
http://www.en.wiktionary.org/,[3]
http://www.retractionwatch.com/,[62]
http://www.sfv.se/,[78]
http://www.campusgotland.uu.se/,[7]
http://www.uu.se/,[1]
http://www.nytimes.com/,[61]
http://www.dagensmedicin.se/,[70]
http://www.aop.se/,[77]
http://www.matarikinetwork.org/,[26]
http://www.aleph.nkp.cz/,[43]
http://www.developer.wikimedia.org/,[54]
http://www.developer.wikimedia.org/,[54]
http://www.ergo.nu/,[19]
http://www.matarikinetwork.org/,[26]
http://www.mbl.is/,[113]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.worldcat.org/,[36]
http://www.nla.gov.au/,[44]
http://www.ghostarchive.org/,[28]
