Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.worldcat.org/,Main
http://www.dagensmedicin.se/,[70]
http://www.ci.nii.ac.jp/,[81]
http://www.dagensmedicin.se/,[70]
http://www.nla.gov.au/,[44]
http://www.nla.gov.au/,[44]
http://www.usnews.com/,[25]
http://www.webometrics.info/,[11]
http://www.ehl.lu.se/,[100]
http://www.uu.se/,[1]
http://www.webometrics.info/,[11]
http://www.student.uu.se/,[30]
http://www.worldcat.org/,[36]
http://www.isni.org/,[34]
http://www.leidenranking.com/,[22]
http://www.wikimediafoundation.org/,[53]
http://www.uu.se/,[1]
http://www.api.semanticscholar.org/,[68]
http://www.thelocal.se/,[17]
http://www.libris.kb.se/,[46]
http://www.diva-portal.org/,[76]
http://www.mbl.is/,[113]
http://www.leidenranking.com/,[22]
http://www.scb.se/,[93]
http://www.shanghairanking.com/,[10]
http://www.ch.lu.se/,[96]
http://www.europeanspallationsource.se/,[90]
http://www.cantic.bnc.cat/,[130]
http://www.eshet.net/,[108]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.rudbeck.uu.se/,[4]
http://www.euroscholars.eu/,[101]
http://www.acton.org/,[109]
http://www.opac.vatlib.it/,[47]
http://www.sfv.se/,[78]
http://www.id.loc.gov/,[42]
http://www.uu.se/,[1]
http://www.scmp.com/,[60]
http://www.student.uu.se/,[30]
http://www.tekniskamuseet.se/,[74]
http://www.archive.today/,[105]
http://www.uu.se/,[1]
http://www.data.bnf.fr/,[39]
http://www.bbc.co.uk/,[71]
http://www.musicbrainz.org/,[82]
http://www.lundtan.lundaekonomerna.se/,[92]
http://www.scb.se/,[93]
http://www.bbc.co.uk/,[71]
http://www.axelsons.com/,[116]
http://www.webometrics.info/,[11]
http://www.uu.se/,[1]
http://www.runeberg.org/,[125]
http://www.ki.se/,[56]
http://www.tekniskamuseet.se/,[74]
