Link,Ind
https://en.wikipedia.org/w/index.php,Wikipedia
http://www.youtube.com/,Main
http://www.ki.se/,[56]
http://www.trove.nla.gov.au/,[50]
http://www.isa.org/,[123]
http://www.ghostarchive.org/,[28]
http://www.arkitekturupproret.se/,[99]
http://www.circ.ahajournals.org/,[119]
http://www.upsalafaktning.se/,[20]
http://www.data.rero.ch/,[83]
http://www.kth.se/,[73]
http://www.trove.nla.gov.au/,[50]
http://www.doi.org/,[63]
http://www.ki.se/,[56]
http://www.roundranking.com/,[57]
http://www.developer.wikimedia.org/,[54]
http://www.eshet.net/,[108]
http://www.uu.se/,[1]
http://www.creativecommons.org/,[51]
http://www.timeshighereducation.com/,[24]
http://www.scb.se/,[93]
http://www.scmp.com/,[60]
http://www.afbostader.se/,[107]
http://www.britannica.com/,[115]
http://www.catalogo.bne.es/,[72]
http://www.wikidata.org/,[33]
http://www.tsl.uu.se/,[14]
http://www.nytimes.com/,[61]
http://www.retractionwatch.com/,[62]
http://www.kth.se/,[73]
http://www.thelocal.se/,[17]
http://www.webarchive.nationalarchives.gov.uk/,[122]
http://www.ghostarchive.org/,[28]
http://www.student.uu.se/,[30]
http://www.viaf.org/,[35]
http://www.axelsons.com/,[116]
http://www.data.rero.ch/,[83]
http://www.data.nlg.gr/,[45]
http://www.musicbrainz.org/,[82]
http://www.angstrom.uu.se/,[6]
http://www.tsl.uu.se/,[14]
http://www.mediawiki.org/,[55]
http://www.geohack.toolforge.org/,[2]
http://www.collections.tepapa.govt.nz/,[131]
http://www.ki.se/,[56]
http://www.ergo.nu/,[19]
http://www.unt.se/,[16]
http://www.nla.gov.au/,[44]
http://www.afuu.org/,[32]
http://www.geo.uu.se/,[5]
http://www.unt.se/,[16]
http://www.ki.se/,[56]
http://www.sverigesradio.se/,[18]
http://www.ki.se/,[56]
http://www.geohack.toolforge.org/,[2]
http://www.creativecommons.org/,[51]
http://www.chiropractorswarwick.co.uk/,[117]
http://www.dagensmedicin.se/,[70]
http://www.api.semanticscholar.org/,[68]
http://www.ki.se/,[56]
http://www.ki.se/,[56]
http://www.gu.se/,[132]
http://www.ki.se/,[56]
http://www.uu.se/,[1]
http://www.cwur.org/,[21]
http://www.svt.se/,[67]
http://www.usnews.com/,[25]
http://www.authority.bibsys.no/,[37]
http://www.proton-therapy.org/,[15]
http://www.cantic.bnc.cat/,[130]
http://www.commons.wikimedia.org/,[29]
http://www.leidenranking.com/,[22]
http://www.svt.se/,[67]
http://www.acton.org/,[109]
http://www.scb.se/,[93]
http://www.britannica.com/,[115]
http://www.usnews.com/,[25]
http://www.the-guild.eu/,[9]
http://www.data.bnf.fr/,[39]
http://www.lundagard.se/,[91]
